dmu_id,variety,area_TOTAL,productivity_weighted,operation_category,operation,equipment,product,dose_kg_ha,dose_unit,covered_area,area_tonne,n_density,p_density,k_density,so4_density,n_kg_ha_weight,p_kg_ha_weight,k_kg_ha_weight,so4_kg_ha_weight,n_kg_t,p_kg_t,k_kg_t,so4_kg_t,year,month,day
C3_2024,All,112.23,5.77,fertilisation,basal_fertilisation,centrifugal_spreader,20-10-00,250.0,kg/ha,25.0,0.04,50.0,25.0,0.0,0.0,11.14,5.57,0.0,0.0,8.67,4.33,0.0,0.0,"2,024.00",5.0,15.0
C3_2024,All,112.23,5.77,fertilisation,basal_fertilisation,centrifugal_spreader,20-20-0,250.0,kg/ha,87.23,0.13,50.0,50.0,0.0,0.0,38.86,38.86,0.0,0.0,8.67,8.67,0.0,0.0,"2,024.00",5.0,15.0
C3_2024,All,112.23,5.77,fertilisation,topdressing,centrifugal_spreader,Urea 46%,140.0,kg/ha,112.23,0.17,64.4,0.0,0.0,0.0,64.4,0.0,0.0,0.0,11.16,0.0,0.0,0.0,"2,024.00",7.0,20.0
C4_2022,Ronaldo,25.21,3.62,fertilisation,basal_fertilisation,centrifugal_spreader,15-15-15,260.0,kg/ha,25.21,0.28,39.0,39.0,39.0,0.0,39.0,39.0,39.0,0.0,10.77,10.77,10.77,0.0,"2,022.00",5.0,22.0
C4_2022,Ronaldo,25.21,3.62,fertilisation,topdressing,centrifugal_spreader,Urea 46%,182.0,kg/ha,19.21,0.21,83.72,0.0,0.0,0.0,63.79,0.0,0.0,0.0,23.13,0.0,0.0,0.0,"2,022.00",7.0,20.0
C4_2023,All,23.84,4.5,fertilisation,basal_fertilisation,centrifugal_spreader,20-10-00,300.0,kg/ha,23.84,0.22,60.0,30.0,0.0,0.0,60.0,30.0,0.0,0.0,13.33,6.67,0.0,0.0,"2,023.00",5.0,25.0
C4_2023,All,23.84,4.5,fertilisation,topdressing,centrifugal_spreader,Urea 46%,188.0,kg/ha,23.84,0.22,86.48,0.0,0.0,0.0,86.48,0.0,0.0,0.0,19.22,0.0,0.0,0.0,"2,023.00",7.0,10.0
C4_2024,All,23.87,8.28,fertilisation,basal_fertilisation,centrifugal_spreader,20-20-0,350.0,kg/ha,23.87,0.12,70.0,70.0,0.0,0.0,70.0,70.0,0.0,0.0,8.46,8.46,0.0,0.0,"2,024.00",4.0,18.0
C4_2024,All,23.87,8.28,fertilisation,topdressing,centrifugal_spreader,Urea 46%,100.0,kg/ha,23.87,0.12,46.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,"2,024.00",7.0,1.0
C5_2022,Ronaldo,35.75,5.99,fertilisation,topdressing,centrifugal_spreader,Nexur S (38%),100.0,kg/ha,25.75,0.12,38.0,0.0,0.0,0.0,27.37,0.0,0.0,0.0,6.34,0.0,0.0,0.0,"2,022.00",7.0,4.0
