dmu_id,farmer_id,year,basis,impact_category,impact_unit,seed_amount_kg_ha,seed_amount_kg_tonne,seed_factor_per_unit,seed_factor_unit,characterisation_sheet,single_score_file,sowing_total_impact
C1_2023,C1,2023,ha,"Human toxicity, cancer - inorganics",Pt,206.5853658537,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2023,C1,2023,ha,"Human toxicity, cancer - metals",Pt,206.5853658537,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2023,C1,2023,ha,"Human toxicity, cancer - organics",Pt,206.5853658537,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2023,C1,2023,ha,"Human toxicity, non-cancer",Pt,206.5853658537,,4.3437799999999997e-13,1 kg seed,,seeds_singlescore_1.json,8.97361380487985e-11
C1_2023,C1,2023,ha,"Human toxicity, non-cancer - inorganics",Pt,206.5853658537,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2023,C1,2023,ha,"Human toxicity, non-cancer - metals",Pt,206.5853658537,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2023,C1,2023,ha,"Human toxicity, non-cancer - organics",Pt,206.5853658537,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2023,C1,2023,ha,Ionising radiation,Pt,206.5853658537,,5.252001,1 kg seed,,seeds_singlescore_1.json,1084.9865480489982
C1_2023,C1,2023,ha,Land use,Pt,206.5853658537,,16893889.2,1 kg seed,,seeds_singlescore_1.json,3490030281.073871
C1_2023,C1,2023,ha,Ozone depletion,Pt,206.5853658537,,7.7848e-11,1 kg seed,,seeds_singlescore_1.json,1.608225756097884e-08
C1_2023,C1,2023,ha,Particulate matter,Pt,206.5853658537,,4.0509e-12,1 kg seed,,seeds_singlescore_1.json,8.368566585367534e-10
C1_2023,C1,2023,ha,Photochemical ozone formation,Pt,206.5853658537,,0.0065572,1 kg seed,,seeds_singlescore_1.json,1.3546215609758818
C1_2023,C1,2023,ha,"Resource use, fossils",Pt,206.5853658537,,26916.417690000002,1 kg seed,,seeds_singlescore_1.json,5560537.9959596535
C1_2023,C1,2023,ha,"Resource use, minerals and metals",Pt,206.5853658537,,1.8431999999999996e-08,1 kg seed,,seeds_singlescore_1.json,3.8077814634153976e-06
C1_2023,C1,2023,ha,Total,Pt,206.5853658537,,16980974.878934015,1 kg seed,,seeds_singlescore_1.json,3508020907.917073
C1_2023,C1,2023,ha,Water use,Pt,206.5853658537,,31715.821060000002,1 kg seed,,seeds_singlescore_1.json,6552024.497030584
C1_2024,C1,2024,ha,Acidification,Pt,193.1179960448,,0.01198496,1 kg seed,,seeds_singlescore_1.json,2.314511457877086
C1_2024,C1,2024,ha,Climate change,Pt,193.1179960448,,6016.38576,1 kg seed,,seeds_singlescore_1.json,1161872.361403671
C1_2024,C1,2024,ha,Climate change - Biogenic,Pt,193.1179960448,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2024,C1,2024,ha,Climate change - Fossil,Pt,193.1179960448,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2024,C1,2024,ha,Climate change - Land use and LU change,Pt,193.1179960448,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2024,C1,2024,ha,"Ecotoxicity, freshwater",Pt,193.1179960448,,22431.676919999998,1 kg seed,,seeds_singlescore_1.json,4331960.494714791
C1_2024,C1,2024,ha,"Ecotoxicity, freshwater - inorganics",Pt,193.1179960448,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2024,C1,2024,ha,"Ecotoxicity, freshwater - metals",Pt,193.1179960448,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2024,C1,2024,ha,"Ecotoxicity, freshwater - organics",Pt,193.1179960448,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2024,C1,2024,ha,"Eutrophication, freshwater",Pt,193.1179960448,,8.7756e-06,1 kg seed,,seeds_singlescore_1.json,0.001694726286090747
C1_2024,C1,2024,ha,"Eutrophication, marine",Pt,193.1179960448,,0.002909536,1 kg seed,,seeds_singlescore_1.json,0.5618837617402033
C1_2024,C1,2024,ha,"Eutrophication, terrestrial",Pt,193.1179960448,,0.10404252,1 kg seed,,seeds_singlescore_1.json,20.092482965851026
C1_2024,C1,2024,ha,"Human toxicity, cancer",Pt,193.1179960448,,3.8458000000000003e-16,1 kg seed,,seeds_singlescore_1.json,7.42693189189092e-14
C1_2024,C1,2024,ha,"Human toxicity, cancer - inorganics",Pt,193.1179960448,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2024,C1,2024,ha,"Human toxicity, cancer - metals",Pt,193.1179960448,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2024,C1,2024,ha,"Human toxicity, cancer - organics",Pt,193.1179960448,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2024,C1,2024,ha,"Human toxicity, non-cancer",Pt,193.1179960448,,4.3437799999999997e-13,1 kg seed,,seeds_singlescore_1.json,8.388620888594813e-11
C1_2024,C1,2024,ha,"Human toxicity, non-cancer - inorganics",Pt,193.1179960448,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2024,C1,2024,ha,"Human toxicity, non-cancer - metals",Pt,193.1179960448,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2024,C1,2024,ha,"Human toxicity, non-cancer - organics",Pt,193.1179960448,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C1_2024,C1,2024,ha,Ionising radiation,Pt,193.1179960448,,5.252001,1 kg seed,,seeds_singlescore_1.json,1014.2559083452857
C1_2024,C1,2024,ha,Land use,Pt,193.1179960448,,16893889.2,1 kg seed,,seeds_singlescore_1.json,3262514027.7068896
C1_2024,C1,2024,ha,Ozone depletion,Pt,193.1179960448,,7.7848e-11,1 kg seed,,seeds_singlescore_1.json,1.503384975609559e-08
C1_2024,C1,2024,ha,Particulate matter,Pt,193.1179960448,,4.0509e-12,1 kg seed,,seeds_singlescore_1.json,7.823016901778804e-10
C1_2024,C1,2024,ha,Photochemical ozone formation,Pt,193.1179960448,,0.0065572,1 kg seed,,seeds_singlescore_1.json,1.2663133236649626
C1_2024,C1,2024,ha,"Resource use, fossils",Pt,193.1179960448,,26916.417690000002,1 kg seed,,seeds_singlescore_1.json,5198044.644997605
C1_2024,C1,2024,ha,"Resource use, minerals and metals",Pt,193.1179960448,,1.8431999999999996e-08,1 kg seed,,seeds_singlescore_1.json,3.559550903097753e-06
C1_2024,C1,2024,ha,Total,Pt,193.1179960448,,16980974.878934015,1 kg seed,,seeds_singlescore_1.json,3279331839.5068274
C1_2024,C1,2024,ha,Water use,Pt,193.1179960448,,31715.821060000002,1 kg seed,,seeds_singlescore_1.json,6124895.806022665
C2_2022,C2,2022,ha,Acidification,Pt,200.8753815766,,0.01198496,1 kg seed,,seeds_singlescore_1.json,2.407483413180288
C2_2022,C2,2022,ha,Climate change,Pt,200.8753815766,,6016.38576,1 kg seed,,seeds_singlescore_1.json,1208543.7852520226
C2_2022,C2,2022,ha,Climate change - Biogenic,Pt,200.8753815766,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C2_2022,C2,2022,ha,Climate change - Fossil,Pt,200.8753815766,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C2_2022,C2,2022,ha,Climate change - Land use and LU change,Pt,200.8753815766,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C2_2022,C2,2022,ha,"Ecotoxicity, freshwater",Pt,200.8753815766,,22431.676919999998,1 kg seed,,seeds_singlescore_1.json,4505971.660708011
C2_2022,C2,2022,ha,"Ecotoxicity, freshwater - inorganics",Pt,200.8753815766,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C2_2022,C2,2022,ha,"Ecotoxicity, freshwater - metals",Pt,200.8753815766,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C2_2022,C2,2022,ha,"Ecotoxicity, freshwater - organics",Pt,200.8753815766,,0.0,1 kg seed,,seeds_singlescore_1.json,0.0
C2_2022,C2,2022,ha,"Eutrophication, freshwater",Pt,200.8753815766,,8.7756e-06,1 kg seed,,seeds_singlescore_1.json,0.001762801998563611
C2_2022,C2,2022,ha,"Eutrophication, marine",Pt,200.8753815766,,0.002909536,1 kg seed,,seeds_singlescore_1.json,0.5844541542108544
C2_2022,C2,2022,ha,"Eutrophication, terrestrial",Pt,200.8753815766,,0.10404252,1 kg seed,,seeds_singlescore_1.json,20.899580905191037
