region,year,month,month_name,tmax_mean_c,days35,days40,hw35,hw40,vpd_mean_kpa,precip_mm,nao_index,yield_kg_ha,yield_residual_pct,is_lca_year
sado,1991,8,August,31.722885536549363,0.7642679900744417,0.0,6.333333333333333,0.0,1.6381319879350575,55.83522616902946,1.23,5236.923076923077,-8.860300599550547,False
sado,1991,9,September,28.2753037064164,0.260545905707196,0.0,2.7222222222222223,0.0,1.1367767077591406,191.53060743791332,0.48,5236.923076923077,-8.860300599550547,False
sado,1991,10,October,20.809131056262625,0.0,0.0,0.0,0.0,0.6043961868158569,1130.119252036492,-0.19,5236.923076923077,-8.860300599550547,False
sado,1992,8,August,30.29942723209288,0.662531017369727,0.034739454094292806,5.805555555555555,0.0,1.484086754478088,96.5643697244079,0.85,5149.895421798745,-10.594739026113574,False
sado,1992,9,September,26.98752362286605,0.09181141439205956,0.0,0.0,0.0,1.0913888961884795,369.34083942593867,-0.44,5149.895421798745,-10.594739026113574,False
sado,1992,10,October,19.625603537063895,0.0,0.0,0.0,0.0,0.4703462613705465,623.6076658336364,-1.76,5149.895421798745,-10.594739026113574,False
sado,1993,8,August,28.903470187717037,0.20347394540942929,0.0,0.25,0.0,1.2359065612376579,167.4874043303589,0.12,5250.0,-9.079911337909849,False
sado,1993,9,September,23.35654500325523,0.0,0.0,0.0,0.0,0.6913909608460058,190.95808883011185,-0.57,5250.0,-9.079911337909849,False
sado,1993,10,October,19.09480960531476,0.0,0.0,0.0,0.0,0.4619680593374297,1769.8983022418513,-0.71,5250.0,-9.079911337909849,False
sado,1994,8,August,29.064251008939596,0.19602977667493796,0.0,0.0,0.0,1.153702552858041,24.322121277893732,0.38,5950.0,2.7912141149782275,False
sado,1994,9,September,25.77630355269823,0.0,0.0,0.0,0.0,1.030016159013951,73.4209914281602,-1.32,5950.0,2.7912141149782275,False
sado,1994,10,October,21.899106775646164,0.0,0.0,0.0,0.0,0.43967365424803617,747.8492500094819,-0.97,5950.0,2.7912141149782275,False
sado,1995,8,August,30.847898990535413,0.5632754342431762,0.0,5.277777777777778,0.0,1.4644981766139815,14.173236219224666,0.69,5475.0,-5.645150845608422,False
sado,1995,9,September,25.41016506618926,0.0,0.0,0.0,0.0,0.9829913789902877,166.8228276351316,0.31,5475.0,-5.645150845608422,False
