dmu_id,farmer_id,year,area_ha,productivity_t_ha,n2o_operation_rows_n,n2o_products,n2o_synthetic_n_kg_ha,n2o_synthetic_n_kg_tonne,ch4_co2eq_ha,ch4_co2eq_tonne,n2o_direct_synthetic_co2eq_ha,n2o_direct_synthetic_co2eq_tonne,n2o_direct_straw_n2o_kg_ha,n2o_direct_straw_co2eq_ha,n2o_direct_straw_co2eq_tonne,n2o_direct_total_co2eq_ha,n2o_direct_total_co2eq_tonne,n2o_indirect_volatilisation_co2eq_ha,n2o_indirect_volatilisation_co2eq_tonne,n2o_indirect_leaching_co2eq_ha,n2o_indirect_leaching_co2eq_tonne,co2_from_urea_ha,co2_from_urea_tonne,n2o_fertiliser_total_co2eq_ha,n2o_fertiliser_total_co2eq_tonne,n2o_total_with_straw_co2eq_ha,n2o_total_with_straw_co2eq_tonne,field_emissions_total_co2eq_ha,field_emissions_total_co2eq_tonne
C1_2022,C1,2022,45.92,4.43,3,20-10-00 [unknown]; Ammonium sulfate 21% [ammonium_based]; Urea 46% [urea],141.20000000000002,31.87358916478556,4156.5887999999995,938.2818961625281,242.2992,54.69507900677201,0.25457142857142856,69.49799999999999,15.688036117381488,311.7972,70.38311512415349,75.52116000000001,17.047665914221223,159.917472,36.09875214446953,102.66666666666666,23.175319789315274,580.4044986666667,131.01681685477803,649.9024986666666,146.7048529721595,4806.491298666666,1084.9867491346877
C1_2023,C1,2023,45.51,4.54,2,20-10-00 [unknown]; Urea 46% [urea],129.0,28.41409691629956,4156.5887999999995,915.548193832599,221.36399999999998,48.75859030837004,0.25457142857142856,69.49799999999999,15.3079295154185,290.86199999999997,64.06651982378854,72.71549999999999,16.016629955947135,146.10023999999999,32.18066960352422,110.0,24.229074889867842,550.1797399999999,121.18496475770924,619.6777399999999,136.49289427312772,4776.26654,1052.0410881057269
C1_2024,C1,2024,45.51000000000001,4.78,2,20-10-00 [unknown]; Urea 46% [urea],129.0,26.98744769874477,4156.5887999999995,869.5792468619245,221.36399999999998,46.31046025104602,0.25457142857142856,69.49799999999999,14.539330543933051,290.86199999999997,60.84979079497907,72.71549999999999,15.212447698744768,146.10023999999999,30.56490376569037,110.0,23.01255230125523,550.1797399999999,115.10036401673638,619.6777399999999,129.63969456066943,4776.26654,999.218941422594
C2_2022,C2,2022,111.38,6.91,2,20-20-0 [unknown]; Urea 46% [urea],101.4,14.67438494934877,4156.5887999999995,601.5323878437047,174.0024,25.181244573082488,0.25457142857142856,69.49799999999999,10.057597684515194,243.50039999999998,35.23884225759768,54.9549,7.952952243125905,114.84158399999998,16.61962141823444,66.0,9.55137481910275,409.798884,59.30519305354558,479.296884,69.36279073806078,4635.885684,670.8951785817655
C2_2023,C2,2023,115.21,8.71,4,20-10-00 [unknown]; Nergetic 30 [unknown]; Urea 46% [urea]; Yara Vera Amidas (40%) [unknown],78.37,8.997703788748565,4156.5887999999995,477.2202985074626,134.48292,15.440059701492537,0.25457142857142856,69.49799999999999,7.979104477611939,203.98092,23.419164179104474,39.448695,4.529126865671642,88.75872719999998,10.19043940298507,22.914677545351967,2.630847020132258,285.605019745352,32.790472990281515,355.103019745352,40.769577467893455,4511.6918197453515,517.9898759753561
C2_2024,C2,2024,120.72,7.39,4,20-10-00 [unknown]; 20-20-0 [unknown]; Urea 46% [urea]; Yara Vera Amidas (40%) [unknown],130.51,17.66035182679296,4156.5887999999995,562.4612719891745,223.95515999999998,30.305163734776723,0.25457142857142856,69.49799999999999,9.404330175913396,293.45315999999997,39.70949391069012,72.573501,9.820500811907984,147.81040559999997,20.001408064952635,102.05434062292909,13.80978898821774,546.393407222929,73.93686159985508,615.891407222929,83.34119177576848,4772.480207222929,645.802463764943
C3_2022,C3,2022,114.54,4.77,3,20-10-00 [unknown]; Ammonium sulfate 21% [ammonium_based]; Urea 46% [urea],109.9,23.039832285115306,4156.5887999999995,871.4022641509433,188.5884,39.53635220125787,0.25457142857142856,69.49799999999999,14.569811320754717,258.0864,54.10616352201259,59.44224,12.461685534591195,124.46834399999997,26.093992452830186,88.0,18.448637316561847,460.49898399999995,96.54066750524109,529.9969839999999,111.1104788259958,4686.585783999999,982.5127429769391
C3_2023,C3,2023,112.23,5.94,3,20-10-00 [unknown]; 20-20-0 [unknown]; Urea 46% [urea],109.8,18.484848484848484,4156.5887999999995,699.7624242424241,188.4168,31.719999999999995,0.25457142857142856,69.49799999999999,11.699999999999998,257.9148,43.42,62.0763,10.450555555555555,124.355088,20.9352,95.33333333333333,16.04938271604938,470.1815213333333,79.15513827160493,539.6795213333332,90.85513827160491,4696.268321333333,790.617562514029
C3_2024,C3,2024,112.23,5.77,3,20-10-00 [unknown]; 20-20-0 [unknown]; Urea 46% [urea],114.4,19.82668977469671,4156.5887999999995,720.3793414211439,196.31040000000002,34.02259965337956,0.25457142857142856,69.49799999999999,12.044714038128248,265.8084,46.067313691507806,65.03640000000001,11.271473136915082,129.564864,22.454915771230503,102.66666666666666,17.793183131138072,493.5783306666667,85.54217169266322,563.0763306666668,97.58688573079148,4719.665130666666,817.9662271519353
C4_2022,C4,2022,25.21,3.62,2,15-15-15 [unknown]; Urea 46% [urea],102.78999999999999,28.39502762430939,4156.5887999999995,1148.228950276243,176.38763999999998,48.72586740331491,0.25457142857142856,69.49799999999999,19.19834254143646,245.88563999999997,67.92420994475137,59.452965,16.42347099447514,116.41584239999999,32.15907248618784,101.70149411609151,28.0943353911855,453.95794151609147,125.40274627516338,523.4559415160915,144.60108881659986,4680.044741516091,1292.8300390928428
C4_2023,C4,2023,23.84,4.5,2,20-10-00 [unknown]; Urea 46% [urea],146.48000000000002,32.55111111111111,4156.5887999999995,923.6863999999999,251.35967999999997,55.85770666666666,0.25457142857142856,69.49799999999999,15.443999999999997,320.85767999999996,71.30170666666666,83.96388,18.658640000000002,165.8973888,36.8660864,137.86666666666667,30.63703703703704,639.0876154666666,142.0194701037037,708.5856154666667,157.4634701037037,4865.174415466667,1081.1498701037037
C4_2024,C4,2024,23.87,8.276,2,20-20-0 [unknown]; Urea 46% [urea],116.0,14.01643305944901,4156.5887999999995,502.2461092315128,199.05600000000004,24.052199130014504,0.25457142857142856,69.49799999999999,8.397535041082648,268.55400000000003,32.449734171097155,62.634,7.568148864185597,131.37696,15.87445142580957,73.33333333333333,8.860963428387304,466.40029333333337,56.35576284839698,535.8982933333334,64.75329788947963,4692.487093333333,566.9994071209924
C5_2022,C5,2022,35.75,5.99,3,20-10-00 [unknown]; Nexur S (38%) [unknown]; Urea 46% [urea],80.24000000000001,13.395659432387314,4156.5887999999995,693.9213355592653,137.69184,22.98695158597663,0.25457142857142856,69.49799999999999,11.602337228714521,207.18984,34.58928881469115,40.073748,6.690108180300501,90.8766144,15.171388046744573,20.512820512820515,3.424510937031805,289.15502291282047,48.2729587500535,358.65302291282046,59.87529597876802,4515.24182291282,753.7966315380334
C5_2023,C5,2023,35.44,6.23,5,20-08-08 [unknown]; 20-10-00 [unknown]; 20-20-0 [unknown]; Nexur S (38%) [unknown]; Urea 46% [urea],112.97,18.133226324237558,4156.5887999999995,667.189213483146,193.85652,31.11661637239165,0.25457142857142856,69.49799999999999,11.155377207062598,263.35452,42.27199357945425,54.96991500000001,8.823421348314607,127.94530319999998,20.536966805778487,15.421519939804368,2.475364356308887,392.1932581398043,62.95236888279362,461.6912581398043,74.10774608985622,4618.280058139804,741.2969595730023
C5_2024,C5,2024,35.44,8.2,3,40-20-00 [unknown]; Ammonium sulfate 21% [ammonium_based]; Nexur S (38%) [unknown],142.09,17.32804878048781,4156.5887999999995,506.9010731707317,243.82644,29.734931707317074,0.25457142857142856,69.49799999999999,8.475365853658536,313.32444,38.21029756097561,60.809034,7.4157358536585365,160.9254504,19.625054926829268,0.0,0.0,465.5609244,56.77572248780488,535.0589244,65.25108834146343,4691.6477244,572.1521615121951
C6_2022,C6,2022,73.11,2.15,3,20-20-0 [unknown]; Ammonium sulfate 21% [ammonium_based]; Urea 46% [urea],131.7874435782,61.2964853852093,4156.5887999999995,1933.2971162790695,226.14725318019123,105.18476892101918,0.25457142857142856,69.49799999999999,32.324651162790694,295.6452531801912,137.50942008380989,68.30965063603824,31.77193052838988,149.25718709892618,69.42194748787264,73.33333333333333,34.10852713178294,517.0474242484889,240.48717406906462,586.5454242484889,272.8118252318553,4743.134224248488,2206.1089415109245
C6_2023,C6,2023,71.09,2.88,2,20-08-10 [unknown]; Urea 46% [urea],134.5,46.70138888888889,4156.5887999999995,1443.26,230.80200000000002,80.13958333333335,0.25457142857142856,69.49799999999999,24.131249999999998,300.3,104.27083333333334,77.28435,26.83484375,152.32932,52.892125,128.33333333333331,44.56018518518518,588.7490033333333,204.42673726851854,658.2470033333334,228.55798726851856,4814.835803333333,1671.8179872685187
C6_2024,C6,2024,54.22,7.35,2,20-20-0 [unknown]; Urea 46% [urea],127.6,17.360544217687075,4156.5887999999995,565.5222857142857,218.96159999999998,29.790693877551018,0.25457142857142856,69.49799999999999,9.455510204081632,288.45959999999997,39.24620408163265,72.8442,9.910775510204083,144.51465599999997,19.66185795918367,117.33333333333336,15.963718820861683,553.6537893333333,75.32704616780045,623.1517893333332,84.78255637188208,4779.7405893333325,650.3048420861677
C7_2023,C7,2023,37.33,6.65,3,15-15-15 [unknown]; Nergetic 30 [unknown]; Urea 46% [urea],112.23,16.87669172932331,4156.5887999999995,625.0509473684209,192.58668,28.960403007518796,0.25457142857142856,69.49799999999999,10.45082706766917,262.08468,39.411230075187966,62.47655700000001,9.39497097744361,127.10720879999997,19.1138659849624,88.40075006697028,13.293345874732372,470.57119586697024,70.76258584465718,540.0691958669702,81.21341291232633,4696.65799586697,706.2643602807473
C7_2024,C7,2024,37.35,4.99,4,15-15-15 [unknown]; 20-08-10 [unknown]; Urea 46% [urea],140.41,28.13827655310621,4156.5887999999995,832.9837274549097,240.94356,48.28528256513026,0.25457142857142856,69.49799999999999,13.927454909819637,310.44156,62.2127374749499,75.73694699999999,15.177744889779555,159.02274959999997,31.868286492985963,88.0471470667024,17.644718851042562,563.7504036667024,112.97603279893835,633.2484036667024,126.90348770875799,4789.837203666702,959.8872151636677
C8_2022,C8,2022,58.32,5.56,3,20-10-00 [unknown]; Ammonium sulfate 21% [ammonium_based]; Urea 46% [urea],123.5010288066,22.212415252985615,4156.5887999999995,747.5879136690647,211.9277654321256,38.11650457412331,0.25457142857142856,69.49799999999999,12.499640287769783,281.42576543212556,50.61614486189309,69.54125308642512,12.507419619860633,139.87232518520287,25.15689301892138,110.0,19.784172661870507,531.3413437037535,95.56498987477582,600.8393437037535,108.0646301625456,4757.428143703753,855.6525438316104
C8_2023,C8,2023,58.04,5.73,2,15-15-15 [unknown]; Urea 46% [urea],76.80000000000001,13.403141361256546,4156.5887999999995,725.4081675392669,131.7888,22.99979057591623,0.25457142857142856,69.49799999999999,12.128795811518321,201.2868,35.12858638743455,41.738268000000005,7.284165445026178,86.98060799999999,15.179861780104709,51.06936350131412,8.912628883300894,311.5770395013141,54.37644668434801,381.0750395013141,66.50524249586633,4537.663839501313,791.9134100351331
C8_2024,C8,2024,59.12,3.95,2,20-20-0 [unknown]; Nexur S (38%) [unknown],136.0,34.43037974683544,4156.5887999999995,1052.3009620253163,233.37599999999998,59.08253164556961,0.25457142857142856,69.49799999999999,17.594430379746832,302.87399999999997,76.67696202531644,64.1784,16.247696202531642,154.02815999999999,38.994470886075945,0.0,0.0,451.58255999999994,114.32469873417719,521.0805599999999,131.91912911392401,4677.66936,1184.2200911392404
D1_2022,D1,2022,12.25,1.36,2,15-15-15 [unknown]; Urea 46% [urea],79.44,58.41176470588235,4156.5887999999995,3056.3152941176463,136.31904,100.23458823529411,0.25457142857142856,69.49799999999999,51.10147058823528,205.81704,151.33605882352938,46.960056,34.52945294117647,89.9705664,66.1548282352941,88.0,64.70588235294117,361.24966240000003,265.6247517647059,430.7476624,316.7262223529412,4587.3364624,3373.041516470588
D1_2023,D1,2023,17.99,4.9,2,08-20-30 [unknown]; Urea 46% [urea],47.0,9.591836734693876,4156.5887999999995,848.2834285714284,80.652,16.459591836734692,0.25457142857142856,69.49799999999999,14.183265306122445,150.14999999999998,30.642857142857135,26.1261,5.331857142857142,53.23031999999999,10.863330612244896,36.666666666666664,7.48299319727891,196.67508666666666,40.137772789115644,266.1730866666667,54.321038095238094,4422.761886666666,902.6044666666666
D1_2024,D1,2024,24.8,5.68,2,20-20-0 [unknown]; Nexur S (38%) [unknown],136.0,23.943661971830988,4156.5887999999995,731.7938028169013,233.37599999999998,41.08732394366197,0.25457142857142856,69.49799999999999,12.23556338028169,302.87399999999997,53.32288732394366,64.1784,11.299014084507043,154.02815999999999,27.1176338028169,0.0,0.0,451.58255999999994,79.5039718309859,521.0805599999999,91.7395352112676,4677.66936,823.533338028169
D2_2022,D2,2022,18.21,1.23,2,15-15-15 [unknown]; Urea 46% [urea],143.92,117.0081300813008,4156.5887999999995,3379.3404878048777,246.96671999999998,200.78595121951219,0.25457142857142856,69.49799999999999,56.502439024390235,316.46471999999994,257.28839024390237,79.74938399999999,64.8368975609756,162.99803519999995,132.518727804878,109.93962678375414,89.38181039329605,599.653765983754,487.52338697866185,669.1517659837541,544.0258260030521,4825.740565983753,3923.3663138079296
D2_2023,D2,2023,18.22,4.84,2,15-15-15 [unknown]; Urea 46% [urea],81.8,16.90082644628099,4156.5887999999995,858.7993388429751,140.3688,29.00181818181818,0.25457142857142856,69.49799999999999,14.359090909090908,209.86679999999998,43.36090909090909,44.9163,9.280227272727274,92.64340799999998,19.141199999999998,58.666666666666664,12.121212121212121,336.59517466666665,69.54445757575758,406.09317466666664,83.90354848484849,4562.681974666666,942.7028873278236
D2_2024,D2,2024,18.22,6.77,2,15-15-15 [unknown]; Urea 46% [urea],106.0,15.657311669128509,4156.5887999999995,613.9717577548006,181.89600000000002,26.867946824224525,0.25457142857142856,69.49799999999999,10.265583456425405,251.394,37.13353028064993,57.91499999999999,8.554652880354505,120.05135999999999,17.732844903988184,73.33333333333333,10.832102412604629,433.1956933333333,63.987547021171835,502.6936933333333,74.25313047759724,4659.282493333333,688.2248882323978
NT1_2023,NT1,2023,14.92,6.49,2,18-46-00 [unknown]; Nitroagro 40 [unknown],89.6,13.805855161787363,4156.5887999999995,640.4605238828967,153.7536,23.690847457627118,0.25457142857142856,69.49799999999999,10.708474576271184,223.2516,34.3993220338983,42.28224,6.514983050847458,101.47737599999999,15.635959322033896,0.0,0.0,297.513216,45.841789830508475,367.011216,56.55026440677966,4523.600015999999,697.0107882896763
