equipment,single_score_file,impact_category,impact_unit,factor_per_ha_worked,factor_unit,source_factor_unit,m2_to_ha_multiplier
laser_leveler,laser_leveler_singlescore_12.json,"Human toxicity, non-cancer - inorganics",Pt,0.0,1 ha worked,1 m2 worked,10000
laser_leveler,laser_leveler_singlescore_12.json,"Human toxicity, non-cancer - metals",Pt,0.0,1 ha worked,1 m2 worked,10000
laser_leveler,laser_leveler_singlescore_12.json,"Human toxicity, cancer - organics",Pt,0.0,1 ha worked,1 m2 worked,10000
laser_leveler,laser_leveler_singlescore_12.json,"Human toxicity, cancer - inorganics",Pt,0.0,1 ha worked,1 m2 worked,10000
laser_leveler,laser_leveler_singlescore_12.json,"Human toxicity, cancer - metals",Pt,0.0,1 ha worked,1 m2 worked,10000
laser_leveler,laser_leveler_singlescore_12.json,"Ecotoxicity, freshwater - organics",Pt,0.0,1 ha worked,1 m2 worked,10000
laser_leveler,laser_leveler_singlescore_12.json,"Ecotoxicity, freshwater - inorganics",Pt,0.0,1 ha worked,1 m2 worked,10000
laser_leveler,laser_leveler_singlescore_12.json,"Ecotoxicity, freshwater - metals",Pt,0.0,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,Total,Pt,18203540.602892786,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,Climate change,Pt,47577.59999999999,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,Ozone depletion,Pt,7.3408e-09,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,Ionising radiation,Pt,362.9200000000001,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,Photochemical ozone formation,Pt,0.5917,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,Particulate matter,Pt,5.4204899999999996e-11,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,"Human toxicity, non-cancer",Pt,5.2352599999999984e-12,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,"Human toxicity, cancer",Pt,1.6072e-14,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,Acidification,Pt,0.8703199999999999,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,"Eutrophication, freshwater",Pt,7.1276e-05,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,"Eutrophication, marine",Pt,0.08380000000000001,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,"Eutrophication, terrestrial",Pt,7.227,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,"Ecotoxicity, freshwater",Pt,92856.62000000001,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,Land use,Pt,16120529.999999998,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,Water use,Pt,2065.69,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,"Resource use, fossils",Pt,1940138.9999999998,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,"Resource use, minerals and metals",Pt,1.5072e-06,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,Climate change - Fossil,Pt,0.0,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,Climate change - Biogenic,Pt,0.0,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,Climate change - Land use and LU change,Pt,0.0,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,"Human toxicity, non-cancer - organics",Pt,0.0,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,"Human toxicity, non-cancer - inorganics",Pt,0.0,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,"Human toxicity, non-cancer - metals",Pt,0.0,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,"Human toxicity, cancer - organics",Pt,0.0,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,"Human toxicity, cancer - inorganics",Pt,0.0,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,"Human toxicity, cancer - metals",Pt,0.0,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,"Ecotoxicity, freshwater - organics",Pt,0.0,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,"Ecotoxicity, freshwater - inorganics",Pt,0.0,1 ha worked,1 m2 worked,10000
centrifugal_spreader,centrifugal_spreader_singlescore_13.json,"Ecotoxicity, freshwater - metals",Pt,0.0,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,Total,Pt,51483431.65711595,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,Climate change,Pt,123280.5,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,Ozone depletion,Pt,1.47556e-08,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,Ionising radiation,Pt,911.52,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,Photochemical ozone formation,Pt,1.2998,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,Particulate matter,Pt,1.7875400000000004e-10,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,"Human toxicity, non-cancer",Pt,1.1973799999999998e-11,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,"Human toxicity, cancer",Pt,9.348e-14,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,Acidification,Pt,1.95048,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,"Eutrophication, freshwater",Pt,0.00023895999999999998,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,"Eutrophication, marine",Pt,0.17849399999999999,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,"Eutrophication, terrestrial",Pt,15.308100000000001,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,"Ecotoxicity, freshwater",Pt,257538.30999999997,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,Land use,Pt,46409100.0,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,Water use,Pt,6275.389999999999,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,"Resource use, fossils",Pt,4686307.2,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,"Resource use, minerals and metals",Pt,2.976e-06,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,Climate change - Fossil,Pt,0.0,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,Climate change - Biogenic,Pt,0.0,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,Climate change - Land use and LU change,Pt,0.0,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,"Human toxicity, non-cancer - organics",Pt,0.0,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,"Human toxicity, non-cancer - inorganics",Pt,0.0,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,"Human toxicity, non-cancer - metals",Pt,0.0,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,"Human toxicity, cancer - organics",Pt,0.0,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,"Human toxicity, cancer - inorganics",Pt,0.0,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,"Human toxicity, cancer - metals",Pt,0.0,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,"Ecotoxicity, freshwater - organics",Pt,0.0,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,"Ecotoxicity, freshwater - inorganics",Pt,0.0,1 ha worked,1 m2 worked,10000
rotary_tiller,rotary_tiller_singlescore_14.json,"Ecotoxicity, freshwater - metals",Pt,0.0,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,Total,Pt,11253191.91303122,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,Climate change,Pt,3416.1000000000004,1 ha worked,1 m2 worked,10000
