operation_label,factor_group,single_score_file,impact_category,impact_unit,factor_per_unit,factor_unit
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,Total,Pt,540489472.3400254,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,Climate change,Pt,18147.4914,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,Ozone depletion,Pt,1.4799999999999999e-09,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,Ionising radiation,Pt,711.710174,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,Photochemical ozone formation,Pt,0.038507059999999996,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,Particulate matter,Pt,1.54963e-11,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,"Human toxicity, non-cancer",Pt,1.5654213999999998e-09,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,"Human toxicity, cancer",Pt,4.6166e-15,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,Acidification,Pt,0.14868711999999998,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,"Eutrophication, freshwater",Pt,0.000118759,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,"Eutrophication, marine",Pt,0.009537278,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,"Eutrophication, terrestrial",Pt,0.50045004,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,"Ecotoxicity, freshwater",Pt,529018443.3026,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,Land use,Pt,10419696.54,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,Water use,Pt,1631.081551,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,"Resource use, fossils",Pt,1030841.5170000001,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,"Resource use, minerals and metals",Pt,2.5343999999999997e-07,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,Climate change - Fossil,Pt,0,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,Climate change - Biogenic,Pt,0,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,Climate change - Land use and LU change,Pt,0,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,"Human toxicity, non-cancer - organics",Pt,0,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,"Human toxicity, non-cancer - inorganics",Pt,0,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,"Human toxicity, non-cancer - metals",Pt,0,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,"Human toxicity, cancer - organics",Pt,0,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,"Human toxicity, cancer - inorganics",Pt,0,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,"Human toxicity, cancer - metals",Pt,0,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,"Ecotoxicity, freshwater - organics",Pt,0,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,"Ecotoxicity, freshwater - inorganics",Pt,0,1 kg insecticide active substance
pesticide,pesticide_insecticide,pesticide_insecticide_single_score.json,"Ecotoxicity, freshwater - metals",Pt,0,1 kg insecticide active substance
