impact_category,cluster,basis,total_mean,relative_to_cluster2,percent_diff_vs_cluster2
Acidification,1,ha,15.70248875834476,0.8583559017921526,-14.16440982078474
Acidification,2,ha,18.29368065805768,1.0,0.0
Acidification,3,ha,21.961868022061637,1.20051663919192,20.051663919192
Climate change,1,ha,19643.31272965993,0.9842015163964455,-1.5798483603554514
Climate change,2,ha,19958.628799498234,1.0,0.0
Climate change,3,ha,20382.453411803785,1.0212351568117848,2.1235156811784783
"Ecotoxicity, freshwater",1,ha,144046.41636833223,0.42002846153259227,-57.99715384674078
"Ecotoxicity, freshwater",2,ha,342944.41820141964,1.0,0.0
"Ecotoxicity, freshwater",3,ha,670376.7382512664,1.9547678943633886,95.47678943633886
"Eutrophication, freshwater",1,ha,0.2760955970342801,0.9064107827450606,-9.358921725493941
"Eutrophication, freshwater",2,ha,0.3046031692144327,1.0,0.0
"Eutrophication, freshwater",3,ha,0.3724615678284243,1.2227764037682125,22.27764037682125
"Eutrophication, marine",1,ha,2.9598820977884426,0.5726810159026431,-42.73189840973569
"Eutrophication, marine",2,ha,5.168465542939577,1.0,0.0
"Eutrophication, marine",3,ha,6.1686040183553414,1.1935078152512812,19.350781525128124
"Eutrophication, terrestrial",1,ha,60.01873848767288,0.7998963335802257,-20.010366641977427
"Eutrophication, terrestrial",2,ha,75.03314613162092,1.0,0.0
"Eutrophication, terrestrial",3,ha,89.77738468880993,1.196503003237064,19.650300323706404
"Human toxicity, cancer",1,ha,8.915353899745348e-07,0.7489854219457879,-25.101457805421212
"Human toxicity, cancer",2,ha,1.190324088896706e-06,1.0,0.0
"Human toxicity, cancer",3,ha,1.5426768381378992e-06,1.2960141297046117,29.601412970461173
"Human toxicity, non-cancer",1,ha,3.119703279177277e-05,0.49516326782160347,-50.48367321783965
"Human toxicity, non-cancer",2,ha,6.30035279656737e-05,1.0,0.0
"Human toxicity, non-cancer",3,ha,9.57753333268518e-05,1.520158258106327,52.01582581063271
Ionising radiation,1,ha,88.03653263356122,0.805435479177729,-19.456452082227106
Ionising radiation,2,ha,109.30302291058489,1.0,0.0
Ionising radiation,3,ha,141.63800908725514,1.2958288372602633,29.58288372602633
Land use,1,ha,33116.43515842756,0.8357892354530325,-16.42107645469675
Land use,2,ha,39622.95008558835,1.0,0.0
Land use,3,ha,39272.98493829416,0.9911676150680794,-0.8832384931920623
Ozone depletion,1,ha,0.00017947269947110676,0.6790095084176486,-32.09904915823514
Ozone depletion,2,ha,0.0002643154436663879,1.0,0.0
Ozone depletion,3,ha,0.00032845466806779336,1.2426616602939036,24.266166029390355
Particulate matter,1,ha,0.0001085056678334966,1.0508100300569245,5.081003005692453
Particulate matter,2,ha,0.00010325907131626696,1.0,0.0
Particulate matter,3,ha,0.00012078049457092438,1.1696841065032626,16.96841065032626
Photochemical ozone formation,1,ha,7.153047980154751,0.5144474772834364,-48.55525227165636
Photochemical ozone formation,2,ha,13.904330949248212,1.0,0.0
Photochemical ozone formation,3,ha,17.020898912297955,1.22414368403812,22.41436840381199
"Resource use, fossils",1,ha,18412.977976092105,0.8075035356357974,-19.249646436420264
"Resource use, fossils",2,ha,22802.34966599178,1.0,0.0
"Resource use, fossils",3,ha,28378.675194596868,1.2445504788009552,24.455047880095513
"Resource use, minerals and metals",1,ha,0.0160174276487756,0.8255062309859894,-17.44937690140106
"Resource use, minerals and metals",2,ha,0.0194031577807042,1.0,0.0
"Resource use, minerals and metals",3,ha,0.0234984892470025,1.2110652045705144,21.106520457051438
Water use,1,ha,567238.3094732532,0.9994719913405048,-0.05280086594952049
Water use,2,ha,567537.974438349,1.0,0.0
Water use,3,ha,567401.8794682731,0.9997602011209724,-0.023979887902758623
