dmu_id,variety,area_TOTAL,operation,n_kg_ha_weight,type_fertiliser,N20(direct) synthetic,CO2 eq (direct emissions),N2O (indirect VOLATIL),CO2 eq (indirect emissions VOL),N2O (indirect Leach),CO2 eq (indirect emissions VLEACH),CO2 from urea
C6_2024,Diva PV,54.22,topdressing,73.60,urea,0.3469714286,94.7232,0.03469714286,9.47232,0.2602285714,71.0424,14.72
C7_2023,All,37.33,topdressing,11.78,compound,0.0555409284,15.16267345,0.00555409284,1.516267345,0.0416556963,11.37200509,
C7_2023,All,37.33,topdressing,55.45,urea,0.2614136466,71.36592553,0.02614136466,7.136592553,0.196060235,53.52444415,11.09027592
C7_2023,All,37.33,basal_fertilisation,45.00,compound,0.2121428571,57.915,0.02121428571,5.7915,0.1591071429,43.43625,
C7_2024,All,37.33,basal_fertilisation,31.34,compound,0.1477555394,40.33726226,0.01477555394,4.033726226,0.1108166545,30.25294669,
C7_2024,All,37.33,basal_fertilisation,31.34,compound,0.1477555394,40.33726226,0.01477555394,4.033726226,0.1108166545,30.25294669,
C7_2024,All,37.33,basal_fertilisation,22.50,compound,0.1060682714,28.95663809,0.01060682714,2.895663809,0.07955120355,21.71747857,
C7_2024,All,37.33,topdressing,55.23,urea,0.260367992,71.08046183,0.0260367992,7.108046183,0.195275994,53.31034637,11.04591481
C8_2022,All,58.32,basal_fertilisation,50.00,compound,0.2357142857,64.35,0.02357142857,6.435,0.1767857143,48.2625,
C8_2022,All,58.32,topdressing,69.00,urea,0.3252857143,88.803,0.03252857143,8.8803,0.2439642857,66.60225,13.8
C8_2022,Gládio,58.32,topdressing,0.00,compound,0,0,0,0,0,0,
C8_2023,All,58.34,topdressing,32.03,urea,0.1510194035,41.22829715,0.01510194035,4.122829715,0.1132645526,30.92122287,6.406883785
C8_2023,All,58.34,basal_fertilisation,44.77,compound,0.2110519614,57.61718546,0.02110519614,5.761718546,0.1582889711,43.2128891,
C8_2024,All,59.12,basal_fertilisation,60.00,compound,0.2828571429,77.22,0.02828571429,7.722,0.2121428571,57.915,
C8_2024,All,59.12,topdressing,76.00,compound,0.3582857143,97.812,0.03582857143,9.7812,0.2687142857,73.359,
D1_2022,Leonardo,12.25,topdressing,55.20,urea,0.2602285714,71.0424,0.02602285714,7.10424,0.1951714286,53.2818,11.04
D1_2022,Leonardo,12.25,basal_fertilisation,24.24,compound,0.1142973761,31.20318367,0.01142973761,3.120318367,0.08572303207,23.40238776,
D1_2023,Carnaroli,17.99,basal_fertilisation,24.00,compound,0.1131428571,30.888,0.01131428571,3.0888,0.08485714286,23.166,
D1_2023,Carnaroli,17.99,topdressing,23.00,urea,0.1084285714,29.601,0.01084285714,2.9601,0.08132142857,22.20075,4.6
D1_2024,All,24.80,basal_fertilisation,60.00,compound,0.2828571429,77.22,0.02828571429,7.722,0.2121428571,57.915,
D1_2024,All,24.80,topdressing,76.00,compound,0.3582857143,97.812,0.03582857143,9.7812,0.2687142857,73.359,
D2_2022,Luna CL,18.22,topdressing,68.96,urea,0.3251071821,88.7542607,0.03251071821,8.87542607,0.2438303865,66.56569553,13.79242591
D2_2022,Luna CL,18.22,basal_fertilisation,74.96,compound,0.3533773718,96.4720225,0.03533773718,9.64720225,0.2650330289,72.35401688,
D2_2023,Luna CL,18.22,topdressing,36.80,urea,0.1734857143,47.3616,0.01734857143,4.73616,0.1301142857,35.5212,7.36
D2_2023,Luna CL,18.22,basal_fertilisation,45.00,compound,0.2121428571,57.915,0.02121428571,5.7915,0.1591071429,43.43625,
D2_2024,PVL136IT,18.22,basal_fertilisation,60.00,compound,0.2828571429,77.22,0.02828571429,7.722,0.2121428571,57.915,
D2_2024,PVL136IT,18.22,topdressing,46.00,urea,0.2168571429,59.202,0.02168571429,5.9202,0.1626428571,44.4015,9.2
NT1_2024,Ronaldo,12.70,basal_fertilisation,160.58,compound,0.7570326209,206.6699055,0.07570326209,20.66699055,0.5677744657,155.0024291,
NT1_2024,Ronaldo,7.00,basal_fertilisation,49.50,compound,0.2333571429,63.7065,0.02333571429,6.37065,0.1750178571,47.779875,
NT1_2024,Ronaldo,37.90,topdressing,92.00,compound,0.4337142857,118.404,0.04337142857,11.8404,0.3252857143,88.803,
NT1_2023,Velox,14.92,topdressing,21.60,compound,0.1018285714,27.7992,0.01018285714,2.77992,0.07637142857,20.8494,
NT1_2023,Velox,14.92,topdressing,68.00,compound,0.3205714286,87.516,0.03205714286,8.7516,0.2404285714,65.637,
NT2_2022,Luna CL,20.42,basal_fertilisation,57.00,compound,0.2687142857,73.359,0.02687142857,7.3359,0.2015357143,55.01925,
NT2_2022,Luna CL,20.42,topdressing,8.45,urea,0.03982440185,10.8720617,0.003982440185,1.08720617,0.02986830139,8.154046278,1.689520078
NT2_2023,PVL 136 IT,20.19,basal_fertilisation,37.50,compound,0.1767857143,48.2625,0.01767857143,4.82625,0.1325892857,36.196875,
NT2_2023,PVL 136 IT,20.19,topdressing,92.00,urea,0.4337142857,118.404,0.04337142857,11.8404,0.3252857143,88.803,18.4
NT2_2024,PVL 136 IT,20.19,basal_fertilisation,45.00,compound,0.2121428571,57.915,0.02121428571,5.7915,0.1591071429,43.43625,
NT2_2024,PVL 136 IT,20.19,topdressing,46.00,urea,0.2168571429,59.202,0.02168571429,5.9202,0.1626428571,44.4015,9.2
