dmu_id,farmer_id,year,basis,impact_category,impact_unit,water_amount_m3_ha,water_amount_m3_tonne,water_factor_per_unit,water_factor_unit,characterisation_sheet,single_score_file,water_total_impact
C1_2023,C1,2023,tonne,"Human toxicity, cancer - organics",CTUh,,2493.04,0.0,1 m3 water,18_chara,,0.0
C1_2023,C1,2023,tonne,"Human toxicity, non-cancer",CTUh,,2493.04,0.0,1 m3 water,18_chara,,0.0
C1_2023,C1,2023,tonne,"Human toxicity, non-cancer - inorganics",CTUh,,2493.04,0.0,1 m3 water,18_chara,,0.0
C1_2023,C1,2023,tonne,"Human toxicity, non-cancer - metals",CTUh,,2493.04,0.0,1 m3 water,18_chara,,0.0
C1_2023,C1,2023,tonne,"Human toxicity, non-cancer - organics",CTUh,,2493.04,0.0,1 m3 water,18_chara,,0.0
C1_2023,C1,2023,tonne,Ionising radiation,kBq U-235 eq,,2493.04,0.0,1 m3 water,18_chara,,0.0
C1_2023,C1,2023,tonne,Land use,Pt,,2493.04,0.0,1 m3 water,18_chara,,0.0
C1_2023,C1,2023,tonne,Ozone depletion,kg CFC11 eq,,2493.04,0.0,1 m3 water,18_chara,,0.0
C1_2023,C1,2023,tonne,Particulate matter,disease inc.,,2493.04,0.0,1 m3 water,18_chara,,0.0
C1_2023,C1,2023,tonne,Photochemical ozone formation,kg NMVOC eq,,2493.04,0.0,1 m3 water,18_chara,,0.0
C1_2023,C1,2023,tonne,"Resource use, fossils",MJ,,2493.04,0.0,1 m3 water,18_chara,,0.0
C1_2023,C1,2023,tonne,"Resource use, minerals and metals",kg Sb eq,,2493.04,0.0,1 m3 water,18_chara,,0.0
C1_2023,C1,2023,tonne,Water use,m3 depriv.,,2493.04,49.6,1 m3 water,18_chara,,123654.784
C1_2024,C1,2024,tonne,Acidification,mol H+ eq,,2367.866,0.0,1 m3 water,18_chara,,0.0
C1_2024,C1,2024,tonne,Climate change,kg CO2 eq,,2367.866,0.0,1 m3 water,18_chara,,0.0
C1_2024,C1,2024,tonne,Climate change - Biogenic,kg CO2 eq,,2367.866,0.0,1 m3 water,18_chara,,0.0
C1_2024,C1,2024,tonne,Climate change - Fossil,kg CO2 eq,,2367.866,0.0,1 m3 water,18_chara,,0.0
C1_2024,C1,2024,tonne,Climate change - Land use and LU change,kg CO2 eq,,2367.866,0.0,1 m3 water,18_chara,,0.0
C1_2024,C1,2024,tonne,"Ecotoxicity, freshwater",CTUe,,2367.866,0.0,1 m3 water,18_chara,,0.0
C1_2024,C1,2024,tonne,"Ecotoxicity, freshwater - inorganics",CTUe,,2367.866,0.0,1 m3 water,18_chara,,0.0
C1_2024,C1,2024,tonne,"Ecotoxicity, freshwater - metals",CTUe,,2367.866,0.0,1 m3 water,18_chara,,0.0
