variant,cap_quantile,pc1_explained_variance,pc2_explained_variance,pc1_pc2_cumulative,silhouette_pc1_pc2,ari_vs_winsor_p95,cluster_sizes
uncapped,none,0.34510560047705635,0.27592052823333646,0.6210261287103929,0.3453868490530894,0.10950063753935829,C1=19; C2=14; C3=1
winsor_p90,0.9,0.33361847272159073,0.25009204089087544,0.5837105136124662,0.3580302987956704,0.9100227458299311,C1=10; C2=13; C3=11
winsor_p95,0.95,0.33337208794198764,0.25550098874555416,0.5888730766875419,0.3645001498679881,1.0,C1=9; C2=11; C3=14
winsor_p99,0.99,0.33755632830923427,0.2699566562881912,0.6075129845974254,0.45254966314945916,0.18945872292439975,C1=7; C2=26; C3=1
