dmu_id,farmer_id,year,n_kg_ha,crop_protection_kg_ai_ha,soil_operation_intensity_ha_ha,yield_kg_ha,cluster,PC1,PC2,PC3,PC4,variant
C1_2022,C1,2022,124.4,0.8693554007,5.0,4434.7081881533095,1,-0.018747834913870245,-0.11014925335990394,0.42731947251245206,-0.7931617503168112,uncapped
C2_2022,C2,2022,101.4,1.4846435626,4.0,6984.019572634225,2,-0.5131166684320113,-0.34133307984460814,-0.403799609811049,0.6407059351157303,uncapped
C3_2022,C3,2022,95.2,1.4389907456,5.0,4332.396542692509,1,0.6283690481400273,-0.24480709381140878,-0.1645227600231463,-0.36775995629131086,uncapped
C4_2022,C4,2022,102.79,2.7279571599,5.0,3619.999999999999,1,1.6176349499647378,0.721226334254996,-0.28659662194920615,0.3680415272439305,uncapped
C5_2022,C5,2022,80.24,0.7027972028,5.0,5987.272727272727,2,-0.255965629949183,-1.1925481123571116,-0.2512112266596778,-0.29017561724567303,uncapped
C6_2022,C6,2022,118.0,1.0314006292,4.0,2150.0,1,0.6464517924121255,0.5462663687976043,-0.12304283567103984,-1.634227923773028,uncapped
C8_2022,C8,2022,119.0,3.1059259259000003,4.0,5553.991769547324,1,0.8376693508978885,1.0995563252931928,-0.43210302584903937,1.351441766814288,uncapped
D1_2022,D1,2022,79.44,3.1519591836000003,5.0,1360.0,1,2.8317958510552845,0.9891465833152452,-0.7894625832123336,-0.176319961860237,uncapped
D2_2022,D2,2022,143.92,2.47,5.0,1230.0,1,1.8863652029154785,1.67041564855353,0.40590648894849796,-0.8000809199645451,uncapped
NT2_2022,NT2,2022,65.45,1.05,2.0,4069.999999999999,1,-0.011157828722464583,-0.12048175393783378,-1.7232565221454201,-0.9773707196026905,uncapped
C1_2023,C1,2023,129.0,1.0421533728,5.0,4323.4805537244565,1,0.0882490550742868,0.07977355688298736,0.4702722617402071,-0.7025264335496993,uncapped
C2_2023,C2,2023,78.37,0.5864959639,5.0,8707.223331308047,2,-1.2088929677166798,-1.7780225784900132,-0.21676691468295037,0.6920447518906369,uncapped
C3_2023,C3,2023,109.8,0.4528842556,5.0,5701.25813062461,2,-0.5749756758381522,-0.8045524825959458,0.2815931761484935,-0.6158118079286464,uncapped
C4_2023,C4,2023,146.48,0.3889261745,5.0,4503.959731543624,2,-0.5370208413537376,-0.0344443020499366,0.8838434145540166,-1.157388264259921,uncapped
