dmu_id,farmer_id,year,basis,impact_category,impact_unit,seed_amount_kg_ha,seed_amount_kg_tonne,seed_factor_per_unit,seed_factor_unit,characterisation_sheet,single_score_file,sowing_total_impact
C6_2023,C6,2023,tonne,Climate change - Land use and LU change,kg CO2 eq,,69.4444444444,0.001315,1 kg seed,1_chara,,0.091319444444386
C6_2023,C6,2023,tonne,"Ecotoxicity, freshwater",CTUe,,69.4444444444,98.81796,1 kg seed,1_chara,,6862.358333328942
C6_2023,C6,2023,tonne,"Ecotoxicity, freshwater - inorganics",CTUe,,69.4444444444,0.974135,1 kg seed,1_chara,,67.64826388884559
C6_2023,C6,2023,tonne,"Ecotoxicity, freshwater - metals",CTUe,,69.4444444444,5.625106,1 kg seed,1_chara,,390.6323611108611
C6_2023,C6,2023,tonne,"Ecotoxicity, freshwater - organics",CTUe,,69.4444444444,92.21872,1 kg seed,1_chara,,6404.07777777368
C6_2023,C6,2023,tonne,"Eutrophication, freshwater",kg P eq,,69.4444444444,0.000426,1 kg seed,1_chara,,0.029583333333314404
C6_2023,C6,2023,tonne,"Eutrophication, marine",kg N eq,,69.4444444444,0.003472,1 kg seed,1_chara,,0.24111111111095682
C6_2023,C6,2023,tonne,"Eutrophication, terrestrial",mol N eq,,69.4444444444,0.015836,1 kg seed,1_chara,,1.0997222222215184
C6_2023,C6,2023,tonne,"Human toxicity, cancer",CTUh,,69.4444444444,4.69e-10,1 kg seed,1_chara,,3.2569444444423604e-08
C6_2023,C6,2023,tonne,"Human toxicity, cancer - inorganics",CTUh,,69.4444444444,1.3e-23,1 kg seed,1_chara,,9.027777777772e-22
C6_2023,C6,2023,tonne,"Human toxicity, cancer - metals",CTUh,,69.4444444444,4.14e-10,1 kg seed,1_chara,,2.8749999999981603e-08
C6_2023,C6,2023,tonne,"Human toxicity, cancer - organics",CTUh,,69.4444444444,5.57e-11,1 kg seed,1_chara,,3.86805555555308e-09
C6_2023,C6,2023,tonne,"Human toxicity, non-cancer",CTUh,,69.4444444444,4.97e-08,1 kg seed,1_chara,,3.4513888888866805e-06
C6_2023,C6,2023,tonne,"Human toxicity, non-cancer - inorganics",CTUh,,69.4444444444,7.61e-10,1 kg seed,1_chara,,5.28472222221884e-08
C6_2023,C6,2023,tonne,"Human toxicity, non-cancer - metals",CTUh,,69.4444444444,3.77e-08,1 kg seed,1_chara,,2.61805555555388e-06
C6_2023,C6,2023,tonne,"Human toxicity, non-cancer - organics",CTUh,,69.4444444444,1.13e-08,1 kg seed,1_chara,,7.847222222217201e-07
C6_2023,C6,2023,tonne,Ionising radiation,kBq U-235 eq,,69.4444444444,0.024891,1 kg seed,1_chara,,1.7285416666655606
C6_2023,C6,2023,tonne,Land use,Pt,,69.4444444444,152.1972,1 kg seed,1_chara,,10569.249999993237
C6_2023,C6,2023,tonne,Ozone depletion,kg CFC11 eq,,69.4444444444,5.26e-08,1 kg seed,1_chara,,3.65277777777544e-06
C6_2023,C6,2023,tonne,Particulate matter,disease inc.,,69.4444444444,6.3e-08,1 kg seed,1_chara,,4.3749999999972e-06
C6_2023,C6,2023,tonne,Photochemical ozone formation,kg NMVOC eq,,69.4444444444,0.00338,1 kg seed,1_chara,,0.23472222222207204
C6_2023,C6,2023,tonne,"Resource use, fossils",MJ,,69.4444444444,4.956983,1 kg seed,1_chara,,344.23493055533527
C6_2023,C6,2023,tonne,"Resource use, minerals and metals",kg Sb eq,,69.4444444444,3.84e-06,1 kg seed,1_chara,,0.00026666666666649597
C6_2023,C6,2023,tonne,Water use,m3 depriv.,,69.4444444444,32.39614,1 kg seed,1_chara,,2249.731944443005
C6_2024,C6,2024,tonne,Acidification,mol H+ eq,,24.8275862069,0.003484,1 kg seed,1_chara,,0.08649931034483961
