dmu_id,farmer_id,year,basis,impact_category,impact_unit,water_amount_m3_ha,water_amount_m3_tonne,water_factor_per_unit,water_factor_unit,characterisation_sheet,single_score_file,water_total_impact
C1_2023,C1,2023,tonne,"Human toxicity, non-cancer - organics",Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,Ionising radiation,Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,Land use,Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,Ozone depletion,Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,Particulate matter,Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,Photochemical ozone formation,Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,"Resource use, fossils",Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,"Resource use, minerals and metals",Pt,,2493.04,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2023,C1,2023,tonne,Total,Pt,,2493.04,48558.4,1 m3 water,,singlescore_18.json,121058033.536
C1_2023,C1,2023,tonne,Water use,Pt,,2493.04,48558.4,1 m3 water,,singlescore_18.json,121058033.536
C1_2024,C1,2024,tonne,Acidification,Pt,,2367.866,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2024,C1,2024,tonne,Climate change,Pt,,2367.866,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2024,C1,2024,tonne,Climate change - Biogenic,Pt,,2367.866,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2024,C1,2024,tonne,Climate change - Fossil,Pt,,2367.866,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2024,C1,2024,tonne,Climate change - Land use and LU change,Pt,,2367.866,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2024,C1,2024,tonne,"Ecotoxicity, freshwater",Pt,,2367.866,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2024,C1,2024,tonne,"Ecotoxicity, freshwater - inorganics",Pt,,2367.866,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2024,C1,2024,tonne,"Ecotoxicity, freshwater - metals",Pt,,2367.866,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2024,C1,2024,tonne,"Ecotoxicity, freshwater - organics",Pt,,2367.866,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2024,C1,2024,tonne,"Eutrophication, freshwater",Pt,,2367.866,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2024,C1,2024,tonne,"Eutrophication, marine",Pt,,2367.866,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2024,C1,2024,tonne,"Eutrophication, terrestrial",Pt,,2367.866,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2024,C1,2024,tonne,"Human toxicity, cancer",Pt,,2367.866,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2024,C1,2024,tonne,"Human toxicity, cancer - inorganics",Pt,,2367.866,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2024,C1,2024,tonne,"Human toxicity, cancer - metals",Pt,,2367.866,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2024,C1,2024,tonne,"Human toxicity, cancer - organics",Pt,,2367.866,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2024,C1,2024,tonne,"Human toxicity, non-cancer",Pt,,2367.866,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2024,C1,2024,tonne,"Human toxicity, non-cancer - inorganics",Pt,,2367.866,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2024,C1,2024,tonne,"Human toxicity, non-cancer - metals",Pt,,2367.866,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2024,C1,2024,tonne,"Human toxicity, non-cancer - organics",Pt,,2367.866,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2024,C1,2024,tonne,Ionising radiation,Pt,,2367.866,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2024,C1,2024,tonne,Land use,Pt,,2367.866,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2024,C1,2024,tonne,Ozone depletion,Pt,,2367.866,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2024,C1,2024,tonne,Particulate matter,Pt,,2367.866,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2024,C1,2024,tonne,Photochemical ozone formation,Pt,,2367.866,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2024,C1,2024,tonne,"Resource use, fossils",Pt,,2367.866,0.0,1 m3 water,,singlescore_18.json,0.0
