dmu_id,farmer_id,year,basis,impact_category,impact_unit,herbicide_amount_kg_ha,fungicide_amount_kg_ha,pesticide_amount_kg_ha,herbicide_amount_kg_tonne,fungicide_amount_kg_tonne,pesticide_amount_kg_tonne,herbicide_factor_per_unit,fungicide_factor_per_unit,pesticide_factor_per_unit,herbicide_factor_unit,fungicide_factor_unit,pesticide_factor_unit,herbicide_factor_group,fungicide_factor_group,pesticide_factor_group,herbicide_characterisation_sheets,fungicide_characterisation_sheets,pesticide_characterisation_sheets,herbicide_single_score_file,fungicide_single_score_file,pesticide_single_score_file,herbicide_impact,fungicide_impact,pesticide_impact,crop_protection_total_impact
C1_2022,C1,2022,tonne,"Human toxicity, cancer - metals",Pt,,,,0.0542864972,0.1193085113,0.0224394009,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2022,C1,2022,tonne,"Human toxicity, cancer - organics",Pt,,,,0.0542864972,0.1193085113,0.0224394009,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2022,C1,2022,tonne,"Human toxicity, non-cancer",Pt,,,,0.0542864972,0.1193085113,0.0224394009,7.236719999999999e-12,3.766066e-12,1.5654213999999998e-09,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,3.9285618001718395e-13,4.493237279175458e-13,3.5127118372039256e-11,3.596929827997399e-11
C1_2022,C1,2022,tonne,"Human toxicity, non-cancer - inorganics",Pt,,,,0.0542864972,0.1193085113,0.0224394009,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2022,C1,2022,tonne,"Human toxicity, non-cancer - metals",Pt,,,,0.0542864972,0.1193085113,0.0224394009,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2022,C1,2022,tonne,"Human toxicity, non-cancer - organics",Pt,,,,0.0542864972,0.1193085113,0.0224394009,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2022,C1,2022,tonne,Ionising radiation,Pt,,,,0.0542864972,0.1193085113,0.0224394009,837.086585,620.0116840000001,711.710174,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,45.442498552760064,73.97267100664604,15.970349918994758,135.38551947840088
C1_2022,C1,2022,tonne,Land use,Pt,,,,0.0542864972,0.1193085113,0.0224394009,10351420.44,9671351.19,10419696.54,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,561942.3567320827,1153874.5127383834,233811.74791740286,1949628.6173878687
C1_2022,C1,2022,tonne,Ozone depletion,Pt,,,,0.0542864972,0.1193085113,0.0224394009,2.1756e-09,1.40008e-09,1.4799999999999999e-09,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,1.1810570330832e-10,1.67041460500904e-10,3.3210313331999997e-11,3.1835747714122396e-10
C1_2022,C1,2022,tonne,Particulate matter,Pt,,,,0.0542864972,0.1193085113,0.0224394009,1.7361e-11,1.44032e-11,1.54963e-11,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,9.424678778892e-13,1.7184243499561602e-12,3.4772768816667e-13,3.00861991601203e-12
C1_2022,C1,2022,tonne,Photochemical ozone formation,Pt,,,,0.0542864972,0.1193085113,0.0224394009,0.0482284,0.03470854,0.038507059999999996,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.00261815090156048,0.004141024236796503,0.0008640753568203539,0.007623250495177337
C1_2022,C1,2022,tonne,"Resource use, fossils",Pt,,,,0.0542864972,0.1193085113,0.0224394009,1337963.403,941010.855,1030841.5170000001,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,72633.34653066196,112270.60422719017,23131.466064327167,208035.41682217928
C1_2022,C1,2022,tonne,"Resource use, minerals and metals",Pt,,,,0.0542864972,0.1193085113,0.0224394009,2.9472e-07,2.208e-07,2.5343999999999997e-07,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,1.5999316454783998e-08,2.634331929504e-08,5.687041764096e-09,4.802967751392e-08
C1_2022,C1,2022,tonne,Total,Pt,,,,0.0542864972,0.1193085113,0.0224394009,13176815.469822299,14456166.866849951,540489472.3400254,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,715323.1561074249,1724743.7479882531,12128259.952067291,14568326.856162969
C1_2022,C1,2022,tonne,Water use,Pt,,,,0.0542864972,0.1193085113,0.0224394009,1884.394864,1440.918633,1631.081551,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,102.29719650823039,171.91385700766105,36.600492823482796,310.8115463393742
C1_2023,C1,2023,tonne,Acidification,Pt,,,,0.2237245479,0.0,0.0173204528,0.17838808,0.13245375999999998,0.14868711999999998,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.03990979254874903,0.0,0.0025753282439279356,0.04248512079267697
C1_2023,C1,2023,tonne,Climate change,Pt,,,,0.2237245479,0.0,0.0173204528,24201.564,16691.588519999998,18147.4914,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,5414.483964372915,0.0,314.3227682321059,5728.80673260502
C1_2023,C1,2023,tonne,Climate change - Biogenic,Pt,,,,0.2237245479,0.0,0.0173204528,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2023,C1,2023,tonne,Climate change - Fossil,Pt,,,,0.2237245479,0.0,0.0173204528,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2023,C1,2023,tonne,Climate change - Land use and LU change,Pt,,,,0.2237245479,0.0,0.0173204528,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2023,C1,2023,tonne,"Ecotoxicity, freshwater",Pt,,,,0.2237245479,0.0,0.0173204528,1460507.7396,3825051.6733000004,529018443.3026,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,326751.4337464609,0.0,9162838.97755216,9489590.411298621
C1_2023,C1,2023,tonne,"Ecotoxicity, freshwater - inorganics",Pt,,,,0.2237245479,0.0,0.0173204528,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2023,C1,2023,tonne,"Ecotoxicity, freshwater - metals",Pt,,,,0.2237245479,0.0,0.0173204528,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2023,C1,2023,tonne,"Ecotoxicity, freshwater - organics",Pt,,,,0.2237245479,0.0,0.0173204528,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2023,C1,2023,tonne,"Eutrophication, freshwater",Pt,,,,0.2237245479,0.0,0.0173204528,0.0001366398,0.000103618,0.000118759,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,3.056967748014642e-05,0.0,2.0569596540752e-06,3.262663713422162e-05
C1_2023,C1,2023,tonne,"Eutrophication, marine",Pt,,,,0.2237245479,0.0,0.0173204528,0.010586454,0.008716038,0.009537278,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0023684496350141466,0.0,0.0001651899734394784,0.002533639608453625
C1_2023,C1,2023,tonne,"Eutrophication, terrestrial",Pt,,,,0.2237245479,0.0,0.0173204528,0.60443343,0.45373077,0.50045004,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.1352265958623963,0.0,0.008668021296578112,0.14389461715897442
C1_2023,C1,2023,tonne,"Human toxicity, cancer",Pt,,,,0.2237245479,0.0,0.0173204528,5.3791999999999995e-15,5.9696e-15,4.6166e-15,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,1.2034590880636798e-15,0.0,7.996160239648e-17,1.2834206904601599e-15
C1_2023,C1,2023,tonne,"Human toxicity, cancer - inorganics",Pt,,,,0.2237245479,0.0,0.0173204528,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2023,C1,2023,tonne,"Human toxicity, cancer - metals",Pt,,,,0.2237245479,0.0,0.0173204528,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2023,C1,2023,tonne,"Human toxicity, cancer - organics",Pt,,,,0.2237245479,0.0,0.0173204528,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2023,C1,2023,tonne,"Human toxicity, non-cancer",Pt,,,,0.2237245479,0.0,0.0173204528,7.236719999999999e-12,3.766066e-12,1.5654213999999998e-09,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,1.6190319102788877e-12,0.0,2.7113807470809916e-11,2.8732839381088804e-11
