dmu_id,farmer_id,year,operation_category,operation,equipment,repetitions,ha_worked_total,dmu_area_ha,dmu_production_t,ha_worked_per_ha,ha_worked_per_tonne
C1_2023,C1,2023,harvest,colheita,combine_harvester,1.0,45.51,45.51,196.7616,1.0,0.2312951307572209
C1_2023,C1,2023,basal_fertilisation,adubação fundo,centrifugal_spreader,1.0,45.51,45.51,196.7616,1.0,0.2312951307572209
C1_2023,C1,2023,topdressing,adubação cobertura,centrifugal_spreader,1.0,45.51,45.51,196.7616,1.0,0.2312951307572209
C1_2023,C1,2023,crop_protection,herbicide,sprayer,1.0,28.4,45.51,196.7616,0.6240386728191606,0.14433710642727035
C1_2023,C1,2023,crop_protection,herbicide,sprayer,1.0,4.01,45.51,196.7616,0.08811250274664909,0.020379992844132187
C1_2023,C1,2023,crop_protection,herbicide,sprayer,1.0,4.1,45.51,196.7616,0.09009009009009009,0.0208373991673172
C1_2023,C1,2023,crop_protection,herbicide,sprayer,1.0,9.0,45.51,196.7616,0.1977587343441002,0.04574063231850117
C1_2023,C1,2023,crop_protection,herbicide,sprayer,1.0,28.4,45.51,196.7616,0.6240386728191606,0.14433710642727035
C1_2023,C1,2023,crop_protection,herbicide,sprayer,1.0,4.01,45.51,196.7616,0.08811250274664909,0.020379992844132187
C1_2023,C1,2023,crop_protection,herbicide,sprayer,1.0,9.0,45.51,196.7616,0.1977587343441002,0.04574063231850117
C1_2023,C1,2023,crop_protection,herbicide,sprayer,1.0,28.4,45.51,196.7616,0.6240386728191606,0.14433710642727035
C1_2023,C1,2023,crop_protection,herbicide,sprayer,1.0,4.01,45.51,196.7616,0.08811250274664909,0.020379992844132187
C1_2023,C1,2023,crop_protection,herbicide,sprayer,1.0,9.0,45.51,196.7616,0.1977587343441002,0.04574063231850117
C1_2023,C1,2023,crop_protection,herbicide,sprayer,1.0,28.4,45.51,196.7616,0.6240386728191606,0.14433710642727035
C1_2023,C1,2023,crop_protection,herbicide,sprayer,1.0,4.01,45.51,196.7616,0.08811250274664909,0.020379992844132187
C1_2023,C1,2023,crop_protection,herbicide,sprayer,1.0,9.0,45.51,196.7616,0.1977587343441002,0.04574063231850117
C1_2023,C1,2023,crop_protection,herbicide,sprayer,1.0,28.4,45.51,196.7616,0.6240386728191606,0.14433710642727035
C1_2023,C1,2023,crop_protection,herbicide,sprayer,1.0,9.0,45.51,196.7616,0.1977587343441002,0.04574063231850117
C1_2023,C1,2023,crop_protection,herbicide,sprayer,1.0,9.0,45.51,196.7616,0.1977587343441002,0.04574063231850117
C1_2023,C1,2023,crop_protection,herbicide,sprayer,1.0,4.1,45.51,196.7616,0.09009009009009009,0.0208373991673172
C1_2023,C1,2023,crop_protection,herbicide,sprayer,1.0,4.1,45.51,196.7616,0.09009009009009009,0.0208373991673172
C1_2023,C1,2023,crop_protection,herbicide,sprayer,1.0,4.1,45.51,196.7616,0.09009009009009009,0.0208373991673172
C1_2023,C1,2023,crop_protection,herbicide,sprayer,1.0,4.1,45.51,196.7616,0.09009009009009009,0.0208373991673172
C1_2023,C1,2023,crop_protection,pesticide,sprayer,1.0,28.4,45.51,196.7616,0.6240386728191606,0.14433710642727035
C1_2023,C1,2023,sowing,sementeira,centrifugal_spreader,1.0,28.4,45.51,196.7616,0.6240386728191606,0.14433710642727035
C1_2023,C1,2023,sowing,sementeira,centrifugal_spreader,1.0,4.01,45.51,196.7616,0.08811250274664909,0.020379992844132187
C1_2023,C1,2023,sowing,sementeira,centrifugal_spreader,1.0,4.1,45.51,196.7616,0.09009009009009009,0.0208373991673172
C1_2023,C1,2023,sowing,sementeira,centrifugal_spreader,1.0,9.0,45.51,196.7616,0.1977587343441002,0.04574063231850117
C1_2024,C1,2024,soil_operation,disk_harrow x3,disk_harrow,3.0,136.53,45.51,227.7032,3.0,0.5995963166086379
C1_2024,C1,2024,soil_operation,disk_harrow x3,disk_harrow,3.0,136.53,45.51,227.7032,3.0,0.5995963166086379
C1_2024,C1,2024,soil_operation,fertiliser_integration,rotary_tiller,1.0,45.51,45.51,227.7032,1.0,0.19986543886954594
C1_2024,C1,2024,soil_operation,levelling,laser_leveler,1.0,45.51,45.51,227.7032,1.0,0.19986543886954594
C1_2024,C1,2024,harvest,colheita,combine_harvester,1.0,45.51,45.51,227.7032,1.0,0.19986543886954594
C1_2024,C1,2024,basal_fertilisation,adubação fundo,centrifugal_spreader,1.0,45.51,45.51,227.7032,1.0,0.19986543886954594
C1_2024,C1,2024,topdressing,adubação cobertura,centrifugal_spreader,1.0,45.51,45.51,227.7032,1.0,0.19986543886954594
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,14.21,45.51,227.7032,0.31223906833662934,0.06240579842531857
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,8.42,45.51,227.7032,0.1850142825752582,0.036977960784038165
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,14.21,45.51,227.7032,0.31223906833662934,0.06240579842531857
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,8.42,45.51,227.7032,0.1850142825752582,0.036977960784038165
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,6.31,45.51,227.7032,0.13865084596791913,0.027711512179011973
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,11.84,45.51,227.7032,0.2601626016260163,0.051997512551426595
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,4.73,45.51,227.7032,0.10393320149417712,0.02077265492975066
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,6.31,45.51,227.7032,0.13865084596791913,0.027711512179011973
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,11.84,45.51,227.7032,0.2601626016260163,0.051997512551426595
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,4.73,45.51,227.7032,0.10393320149417712,0.02077265492975066
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,6.31,45.51,227.7032,0.13865084596791913,0.027711512179011973
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,11.84,45.51,227.7032,0.2601626016260163,0.051997512551426595
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,4.73,45.51,227.7032,0.10393320149417712,0.02077265492975066
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,6.31,45.51,227.7032,0.13865084596791913,0.027711512179011973
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,11.84,45.51,227.7032,0.2601626016260163,0.051997512551426595
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,4.73,45.51,227.7032,0.10393320149417712,0.02077265492975066
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,6.31,45.51,227.7032,0.13865084596791913,0.027711512179011973
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,11.84,45.51,227.7032,0.2601626016260163,0.051997512551426595
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,4.73,45.51,227.7032,0.10393320149417712,0.02077265492975066
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,6.31,45.51,227.7032,0.13865084596791913,0.027711512179011973
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,11.84,45.51,227.7032,0.2601626016260163,0.051997512551426595
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,4.73,45.51,227.7032,0.10393320149417712,0.02077265492975066
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,6.31,45.51,227.7032,0.13865084596791913,0.027711512179011973
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,11.84,45.51,227.7032,0.2601626016260163,0.051997512551426595
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,4.73,45.51,227.7032,0.10393320149417712,0.02077265492975066
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,6.31,45.51,227.7032,0.13865084596791913,0.027711512179011973
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,11.84,45.51,227.7032,0.2601626016260163,0.051997512551426595
C1_2024,C1,2024,crop_protection,herbicide,sprayer,1.0,4.73,45.51,227.7032,0.10393320149417712,0.02077265492975066
C1_2024,C1,2024,crop_protection,fungicide,sprayer,1.0,14.21,45.51,227.7032,0.31223906833662934,0.06240579842531857
C1_2024,C1,2024,sowing,sementeira,centrifugal_spreader,1.0,6.31,45.51,227.7032,0.13865084596791913,0.027711512179011973
C1_2024,C1,2024,sowing,sementeira,centrifugal_spreader,1.0,14.21,45.51,227.7032,0.31223906833662934,0.06240579842531857
C1_2024,C1,2024,sowing,sementeira,centrifugal_spreader,1.0,8.42,45.51,227.7032,0.1850142825752582,0.036977960784038165
C1_2024,C1,2024,sowing,sementeira,centrifugal_spreader,1.0,11.84,45.51,227.7032,0.2601626016260163,0.051997512551426595
C1_2024,C1,2024,sowing,sementeira,centrifugal_spreader,1.0,4.73,45.51,227.7032,0.10393320149417712,0.02077265492975066
C2_2022,C2,2022,soil_operation,scarifier,disk_harrow,1.0,111.38,111.38000000000001,777.8801000000001,0.9999999999999999,0.14318402026224863
C2_2022,C2,2022,soil_operation,scarifier,disk_harrow,1.0,111.38,111.38000000000001,777.8801000000001,0.9999999999999999,0.14318402026224863
C2_2022,C2,2022,soil_operation,levelling,laser_leveler,1.0,111.38,111.38000000000001,777.8801000000001,0.9999999999999999,0.14318402026224863
C2_2022,C2,2022,soil_operation,fertiliser_integration,rotary_tiller,1.0,111.38,111.38000000000001,777.8801000000001,0.9999999999999999,0.14318402026224863
C2_2022,C2,2022,harvest,colheita,combine_harvester,1.0,111.38,111.38000000000001,777.8801000000001,0.9999999999999999,0.14318402026224863
C2_2022,C2,2022,basal_fertilisation,adubação fundo,centrifugal_spreader,1.0,111.38,111.38000000000001,777.8801000000001,0.9999999999999999,0.14318402026224863
C2_2022,C2,2022,topdressing,adubação cobertura,centrifugal_spreader,1.0,111.38,111.38000000000001,777.8801000000001,0.9999999999999999,0.14318402026224863
C2_2022,C2,2022,crop_protection,herbicide,sprayer,1.0,34.06,111.38000000000001,777.8801000000001,0.3057999640869097,0.04378566825401498
C2_2022,C2,2022,crop_protection,herbicide,sprayer,1.0,75.37,111.38000000000001,777.8801000000001,0.676692404381397,0.09689153894025569
