dmu_id,farmer_id,year,basis,impact_category,impact_unit,herbicide_amount_kg_ha,fungicide_amount_kg_ha,pesticide_amount_kg_ha,herbicide_amount_kg_tonne,fungicide_amount_kg_tonne,pesticide_amount_kg_tonne,herbicide_factor_per_unit,fungicide_factor_per_unit,pesticide_factor_per_unit,herbicide_factor_unit,fungicide_factor_unit,pesticide_factor_unit,herbicide_factor_group,fungicide_factor_group,pesticide_factor_group,herbicide_characterisation_sheets,fungicide_characterisation_sheets,pesticide_characterisation_sheets,herbicide_single_score_file,fungicide_single_score_file,pesticide_single_score_file,herbicide_impact,fungicide_impact,pesticide_impact,crop_protection_total_impact
C1_2022,C1,2022,ha,"Human toxicity, cancer",CTUh,0.2407447735,0.5290984321,0.0995121951,,,,6.56e-09,7.28e-09,5.63e-09,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,2_chara;3_chara,6_chara;7_chara,4_chara;5_chara,,,,1.57928571416e-09,3.851836585688e-09,5.60253658413e-10,5.991375958261e-09
C1_2022,C1,2022,ha,"Human toxicity, cancer - inorganics",CTUh,0.2407447735,0.5290984321,0.0995121951,,,,3.84e-20,4.02e-20,4.24e-20,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,2_chara;3_chara,6_chara;7_chara,4_chara;5_chara,,,,9.2445993024e-21,2.1269756970419996e-20,4.2193170722400005e-21,3.473367334506e-20
C1_2022,C1,2022,ha,"Human toxicity, cancer - metals",CTUh,0.2407447735,0.5290984321,0.0995121951,,,,3.38e-09,2.79e-09,2.97e-09,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,2_chara;3_chara,6_chara;7_chara,4_chara;5_chara,,,,8.137173344300001e-10,1.476184625559e-09,2.95551219447e-10,2.585453179436e-09
C1_2022,C1,2022,ha,"Human toxicity, cancer - organics",CTUh,0.2407447735,0.5290984321,0.0995121951,,,,3.19e-09,4.49e-09,2.66e-09,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,2_chara;3_chara,6_chara;7_chara,4_chara;5_chara,,,,7.67975827465e-10,2.375651960129e-09,2.6470243896600003e-10,3.40833022656e-09
C1_2022,C1,2022,ha,"Human toxicity, non-cancer",CTUh,0.2407447735,0.5290984321,0.0995121951,,,,8.28e-07,4.3090000000000003e-07,0.00017910999999999998,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,2_chara;3_chara,6_chara;7_chara,4_chara;5_chara,,,,1.99336672458e-07,2.2798851439188999e-07,1.7823629264360998e-05,1.825095445121089e-05
C1_2022,C1,2022,ha,"Human toxicity, non-cancer - inorganics",CTUh,0.2407447735,0.5290984321,0.0995121951,,,,1.09e-08,8.28e-09,9.1e-09,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,2_chara;3_chara,6_chara;7_chara,4_chara;5_chara,,,,2.62411803115e-09,4.380935017788e-09,9.055609754100001e-10,7.910614024348e-09
C1_2022,C1,2022,ha,"Human toxicity, non-cancer - metals",CTUh,0.2407447735,0.5290984321,0.0995121951,,,,1e-07,1.057e-07,8.69e-08,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,2_chara;3_chara,6_chara;7_chara,4_chara;5_chara,,,,2.407447735e-08,5.592570427297e-08,8.64760975419e-09,8.864779137716e-08
C1_2022,C1,2022,ha,"Human toxicity, non-cancer - organics",CTUh,0.2407447735,0.5290984321,0.0995121951,,,,7.179999999999999e-07,3.1770000000000005e-07,0.00017901459999999998,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,2_chara;3_chara,6_chara;7_chara,4_chara;5_chara,,,,1.72854747373e-07,1.6809457187817001e-07,1.7814135800948458e-05,1.8155085120199627e-05
C1_2022,C1,2022,ha,Ionising radiation,kBq U-235 eq,0.2407447735,0.5290984321,0.0995121951,,,,3.967235,2.938444,3.373034,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,2_chara;3_chara,6_chara;7_chara,4_chara;5_chara,,,,0.9550910914962726,1.5547261132136523,0.3356580174869334,2.8454752221968582
C1_2022,C1,2022,ha,Land use,Pt,0.2407447735,0.5290984321,0.0995121951,,,,93.25604,87.12929,93.87114,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,2_chara;3_chara,6_chara;7_chara,4_chara;5_chara,,,,22.45090422730694,46.09997072898621,9.341323197939415,77.89219815423256
C1_2022,C1,2022,ha,Ozone depletion,kg CFC11 eq,0.2407447735,0.5290984321,0.0995121951,,,,1.47e-06,9.46e-07,1e-06,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,2_chara;3_chara,6_chara;7_chara,4_chara;5_chara,,,,3.53894817045e-07,5.005271167666e-07,9.95121951e-08,9.539341289116e-07
