dmu_id,farmer_id,year,basis,impact_category,impact_unit,herbicide_amount_kg_ha,fungicide_amount_kg_ha,pesticide_amount_kg_ha,herbicide_amount_kg_tonne,fungicide_amount_kg_tonne,pesticide_amount_kg_tonne,herbicide_factor_per_unit,fungicide_factor_per_unit,pesticide_factor_per_unit,herbicide_factor_unit,fungicide_factor_unit,pesticide_factor_unit,herbicide_factor_group,fungicide_factor_group,pesticide_factor_group,herbicide_characterisation_sheets,fungicide_characterisation_sheets,pesticide_characterisation_sheets,herbicide_single_score_file,fungicide_single_score_file,pesticide_single_score_file,herbicide_impact,fungicide_impact,pesticide_impact,crop_protection_total_impact
C1_2022,C1,2022,tonne,"Human toxicity, cancer",CTUh,,,,0.0542864972,0.1193085113,0.0224394009,6.56e-09,7.28e-09,5.63e-09,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,2_chara;3_chara,6_chara;7_chara,4_chara;5_chara,,,,3.5611942163199996e-10,8.68565962264e-10,1.2633382706699999e-10,1.3510192109629999e-09
C1_2022,C1,2022,tonne,"Human toxicity, cancer - inorganics",CTUh,,,,0.0542864972,0.1193085113,0.0224394009,3.84e-20,4.02e-20,4.24e-20,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,2_chara;3_chara,6_chara;7_chara,4_chara;5_chara,,,,2.0846014924799998e-21,4.79620215426e-21,9.5143059816e-22,7.8322342449e-21
C1_2022,C1,2022,tonne,"Human toxicity, cancer - metals",CTUh,,,,0.0542864972,0.1193085113,0.0224394009,3.38e-09,2.79e-09,2.97e-09,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,2_chara;3_chara,6_chara;7_chara,4_chara;5_chara,,,,1.83488360536e-10,3.3287074652700004e-10,6.664502067299999e-11,5.83004127736e-10
C1_2022,C1,2022,tonne,"Human toxicity, cancer - organics",CTUh,,,,0.0542864972,0.1193085113,0.0224394009,3.19e-09,4.49e-09,2.66e-09,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,2_chara;3_chara,6_chara;7_chara,4_chara;5_chara,,,,1.73173926068e-10,5.35695215737e-10,5.968880639399999e-11,7.685579481990001e-10
C1_2022,C1,2022,tonne,"Human toxicity, non-cancer",CTUh,,,,0.0542864972,0.1193085113,0.0224394009,8.28e-07,4.3090000000000003e-07,0.00017910999999999998,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,2_chara;3_chara,6_chara;7_chara,4_chara;5_chara,,,,4.4949219681599996e-08,5.141003751917e-08,4.0191210951989995e-06,4.11548035239977e-06
C1_2022,C1,2022,tonne,"Human toxicity, non-cancer - inorganics",CTUh,,,,0.0542864972,0.1193085113,0.0224394009,1.09e-08,8.28e-09,9.1e-09,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,2_chara;3_chara,6_chara;7_chara,4_chara;5_chara,,,,5.9172281948e-10,9.87874473564e-10,2.0419854819000002e-10,1.783795841234e-09
C1_2022,C1,2022,tonne,"Human toxicity, non-cancer - metals",CTUh,,,,0.0542864972,0.1193085113,0.0224394009,1e-07,1.057e-07,8.69e-08,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,2_chara;3_chara,6_chara;7_chara,4_chara;5_chara,,,,5.42864972e-09,1.261090964441e-08,1.9499839382100003e-09,1.9989543302620003e-08
C1_2022,C1,2022,tonne,"Human toxicity, non-cancer - organics",CTUh,,,,0.0542864972,0.1193085113,0.0224394009,7.179999999999999e-07,3.1770000000000005e-07,0.00017901459999999998,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,2_chara;3_chara,6_chara;7_chara,4_chara;5_chara,,,,3.89777049896e-08,3.7904314040010006e-08,4.01698037635314e-06,4.09386239538275e-06
C1_2022,C1,2022,tonne,Ionising radiation,kBq U-235 eq,,,,0.0542864972,0.1193085113,0.0224394009,3.967235,2.938444,3.373034,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,2_chara;3_chara,6_chara;7_chara,4_chara;5_chara,,,,0.215367291719242,0.3505813791784172,0.0756888621753306,0.6416375330729898
C1_2022,C1,2022,tonne,Land use,Pt,,,,0.0542864972,0.1193085113,0.0224394009,93.25604,87.12929,93.87114,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,2_chara;3_chara,6_chara;7_chara,4_chara;5_chara,,,,5.062543754343088,10.395265880525978,2.106412143400026,17.56422177826909
