dmu_id,farmer_id,year,dea_theta_vrs,efficient_vrs,dea_theta_crs,efficient_crs,dea_theta_non_ch4_climate_adjusted_vrs,efficient_non_ch4_climate_adjusted_vrs,dea_theta_environmental_selected_undesirable_vrs,efficient_environmental_selected_undesirable_vrs
C1_2022,C1,2022,0.5953523632517889,False,0.3682909908648149,False,0.7724713782605536,False,0.9016443936041556,False
C2_2022,C2,2022,0.7493688206975454,False,0.7148999259511178,False,0.792754913227496,False,0.8168577210402591,False
C3_2022,C3,2022,0.6394430479232462,False,0.4364575984261902,False,0.7796075105958274,False,0.887551227438454,False
C4_2022,C4,2022,0.5822225550396886,False,0.3455504817827607,False,0.6674052074476468,False,0.717800459859347,False
C5_2022,C5,2022,0.8804736036408874,False,0.6770885516272829,False,0.9696470960721912,False,1.0000000000000002,True
C6_2022,C6,2022,0.5956037880182162,False,0.1959602070125254,False,0.705074297277417,False,0.737155899608527,False
C8_2022,C8,2022,0.5801587477920211,False,0.5028945559367625,False,0.7564331057365595,False,0.8671591757517517,False
D1_2022,D1,2022,0.7055994191850443,False,0.1548141506975092,False,0.8943991561391627,False,0.9522937346088124,False
D2_2022,D2,2022,0.4451250930325757,False,0.0914144117892985,False,0.5681515325102054,False,0.5969192274965931,False
NT2_2022,NT2,2022,1.0,True,0.6836888140718836,False,1.0,True,1.0000000000000002,True
C1_2023,C1,2023,0.5555287285152907,False,0.3493860586900401,False,0.7027375392034347,False,0.8199465558459305,False
C2_2023,C2,2023,1.0,True,1.0,True,1.0,True,1.0,True
C3_2023,C3,2023,0.7395293877672328,False,0.5771698618193808,False,0.8385212516602519,False,0.9721704777043442,False
C4_2023,C4,2023,0.5831876039402079,False,0.3809461530339217,False,0.7100440325265743,False,0.883526518381453,False
C5_2023,C5,2023,0.6084903321410084,False,0.547287095024492,False,0.809817365995521,False,0.8390612948267047,False
C6_2023,C6,2023,0.4901531728665204,False,0.2367105058729742,False,0.6549638003666802,False,0.790324697724298,False
C7_2023,C7,2023,0.6415207056543623,False,0.5959295460812228,False,0.758477690783274,False,0.7601383928820198,False
C8_2023,C8,2023,0.7864084674886659,False,0.6751762495877572,False,0.8974652270052689,False,0.8974652270052591,False
D1_2023,D1,2023,1.0,True,0.9383576199686974,False,0.9999999999999996,True,1.0,True
D2_2023,D2,2023,0.7119023311078957,False,0.5404398256010039,False,0.7755550226380731,False,0.8047317563919558,False
NT1_2023,NT1,2023,1.0,True,1.0,True,0.9999999999999998,True,1.0,True
NT2_2023,NT2,2023,0.9999999999999996,True,0.7320096323759253,False,0.809861271609072,False,0.9999999999999925,True
C1_2024,C1,2024,0.5188717756498771,False,0.3525261081874864,False,0.691334732639121,False,0.7986682834036536,False
C2_2024,C2,2024,0.8281565891339701,False,0.6903856006461068,False,0.82815658913397,False,1.0,True
C3_2024,C3,2024,0.7096316240077994,False,0.6162748101523602,False,0.7823758336358853,False,0.863973036896419,False
C4_2024,C4,2024,0.6929591624454142,False,0.6911795937064871,False,0.7861312663224471,False,1.0000000000000009,True
C5_2024,C5,2024,0.8038821489614109,False,0.7886110620632335,False,0.9305042370386128,False,1.0,True
C6_2024,C6,2024,0.6340118124064739,False,0.621412286074317,False,0.6885086717508162,False,0.71784046282145,False
C7_2024,C7,2024,0.4484231025340131,False,0.270800825598844,False,0.5505881000303747,False,0.5730901473433888,False
C8_2024,C8,2024,0.5701632141961468,False,0.3067656443881777,False,0.7607802536086326,False,0.795294086330506,False
D1_2024,D1,2024,0.5017422954810058,False,0.4299977029817885,False,0.7486559014549683,False,0.7866221221726389,False
D2_2024,D2,2024,0.678285924792567,False,0.632205218827292,False,0.7216002055070674,False,0.7327869604791614,False
NT1_2024,NT1,2024,1.0,True,0.3249458097202998,False,0.4531119754224945,False,1.0,True
NT2_2024,NT2,2024,0.8692699490662132,False,0.6627268445437241,False,0.8847855632949105,False,0.9279131018454848,False
