dmu_id,farmer_id,year,basis,impact_category,impact_unit,centrifugal_spreader_ha_worked_per_ha,centrifugal_spreader_ha_worked_per_tonne,centrifugal_spreader_factor_per_ha_worked,centrifugal_spreader_factor_unit,centrifugal_spreader_characterisation_sheet,centrifugal_spreader_impact,combine_harvester_ha_worked_per_ha,combine_harvester_ha_worked_per_tonne,combine_harvester_factor_per_ha_worked,combine_harvester_factor_unit,combine_harvester_characterisation_sheet,combine_harvester_impact,disk_harrow_ha_worked_per_ha,disk_harrow_ha_worked_per_tonne,disk_harrow_factor_per_ha_worked,disk_harrow_factor_unit,disk_harrow_characterisation_sheet,disk_harrow_impact,laser_leveler_ha_worked_per_ha,laser_leveler_ha_worked_per_tonne,laser_leveler_factor_per_ha_worked,laser_leveler_factor_unit,laser_leveler_characterisation_sheet,laser_leveler_impact,rotary_tiller_ha_worked_per_ha,rotary_tiller_ha_worked_per_tonne,rotary_tiller_factor_per_ha_worked,rotary_tiller_factor_unit,rotary_tiller_characterisation_sheet,rotary_tiller_impact,seeder_ha_worked_per_ha,seeder_ha_worked_per_tonne,seeder_factor_per_ha_worked,seeder_factor_unit,seeder_characterisation_sheet,seeder_impact,sprayer_ha_worked_per_ha,sprayer_ha_worked_per_tonne,sprayer_factor_per_ha_worked,sprayer_factor_unit,sprayer_characterisation_sheet,sprayer_impact,machines_total_impact
C1_2022,C1,2022,ha,"Eutrophication, marine",kg N eq,4.0,,0.1,1 ha worked,13_chara,0.4,1.0,,0.729,1 ha worked,16_chara,0.729,3.0,,0.08460000000000001,1 ha worked,11_chara,0.2538,1.0,,0.444,1 ha worked,12_chara,0.444,1.0,,0.213,1 ha worked,14_chara,0.213,0.0,,0.0206,1 ha worked,17_chara,0.0,5.1615853659,,0.0064600000000000005,1 ha worked,15_chara,0.033343841463714004,2.073143841463714
C1_2022,C1,2022,ha,"Eutrophication, terrestrial",mol N eq,4.0,,1.1,1 ha worked,13_chara,4.4,1.0,,7.97,1 ha worked,16_chara,7.97,3.0,,0.927,1 ha worked,11_chara,2.781,1.0,,4.86,1 ha worked,12_chara,4.86,1.0,,2.33,1 ha worked,14_chara,2.33,0.0,,0.21800000000000003,1 ha worked,17_chara,0.0,5.1615853659,,0.0704,1 ha worked,15_chara,0.36337560975936,22.70437560975936
C1_2022,C1,2022,ha,"Human toxicity, cancer",CTUh,4.0,,1.96e-08,1 ha worked,13_chara,7.84e-08,1.0,,1.34e-07,1 ha worked,16_chara,1.34e-07,3.0,,1.13e-08,1 ha worked,11_chara,3.39e-08,1.0,,1.03e-07,1 ha worked,12_chara,1.03e-07,1.0,,1.14e-07,1 ha worked,14_chara,1.14e-07,0.0,,5.54e-08,1 ha worked,17_chara,0.0,5.1615853659,,1.91e-09,1 ha worked,15_chara,9.858628048868998e-09,4.73158628048869e-07
C1_2022,C1,2022,ha,"Human toxicity, cancer - inorganics",CTUh,4.0,,3.85e-17,1 ha worked,13_chara,1.54e-16,1.0,,2.22e-16,1 ha worked,16_chara,2.22e-16,3.0,,1.8099999999999998e-17,1 ha worked,11_chara,5.429999999999999e-17,1.0,,1.5199999999999998e-16,1 ha worked,12_chara,1.5199999999999998e-16,1.0,,1.3300000000000002e-16,1 ha worked,14_chara,1.3300000000000002e-16,0.0,,7.46e-17,1 ha worked,17_chara,0.0,5.1615853659,,2.89e-18,1 ha worked,15_chara,1.4916981707451e-17,7.30216981707451e-16
C1_2022,C1,2022,ha,"Human toxicity, cancer - metals",CTUh,4.0,,1.23e-08,1 ha worked,13_chara,4.92e-08,1.0,,8.47e-08,1 ha worked,16_chara,8.47e-08,3.0,,7.91e-09,1 ha worked,11_chara,2.3729999999999998e-08,1.0,,6.970000000000001e-08,1 ha worked,12_chara,6.970000000000001e-08,1.0,,8.050000000000001e-08,1 ha worked,14_chara,8.050000000000001e-08,0.0,,3.55e-08,1 ha worked,17_chara,0.0,5.1615853659,,1.23e-09,1 ha worked,15_chara,6.348750000057e-09,3.14178750000057e-07
C1_2022,C1,2022,ha,"Human toxicity, cancer - organics",CTUh,4.0,,7.2800000000000005e-09,1 ha worked,13_chara,2.9120000000000002e-08,1.0,,4.98e-08,1 ha worked,16_chara,4.98e-08,3.0,,3.4000000000000003e-09,1 ha worked,11_chara,1.02e-08,1.0,,3.3e-08,1 ha worked,12_chara,3.3e-08,1.0,,3.34e-08,1 ha worked,14_chara,3.34e-08,0.0,,2e-08,1 ha worked,17_chara,0.0,5.1615853659,,6.829999999999999e-10,1 ha worked,15_chara,3.5253628049096995e-09,1.590453628049097e-07
C1_2022,C1,2022,ha,"Human toxicity, non-cancer",CTUh,4.0,,5.989999999999999e-07,1 ha worked,13_chara,2.3959999999999996e-06,1.0,,3.46e-06,1 ha worked,16_chara,3.46e-06,3.0,,8.92e-07,1 ha worked,11_chara,2.676e-06,1.0,,2e-06,1 ha worked,12_chara,2e-06,1.0,,1.37e-06,1 ha worked,14_chara,1.37e-06,0.0,,1.0700000000000001e-06,1 ha worked,17_chara,0.0,5.1615853659,,1.27e-07,1 ha worked,15_chara,6.555213414693e-07,1.2557521341469298e-05
C1_2022,C1,2022,ha,"Human toxicity, non-cancer - inorganics",CTUh,4.0,,1.6900000000000002e-07,1 ha worked,13_chara,6.760000000000001e-07,1.0,,1.12e-06,1 ha worked,16_chara,1.12e-06,3.0,,8.97e-08,1 ha worked,11_chara,2.691e-07,1.0,,8.100000000000001e-07,1 ha worked,12_chara,8.100000000000001e-07,1.0,,6.54e-07,1 ha worked,14_chara,6.54e-07,0.0,,3.12e-07,1 ha worked,17_chara,0.0,5.1615853659,,1.02e-08,1 ha worked,15_chara,5.264817073218e-08,3.5817481707321808e-06
C1_2022,C1,2022,ha,"Human toxicity, non-cancer - metals",CTUh,4.0,,4.1999999999999995e-07,1 ha worked,13_chara,1.6799999999999998e-06,1.0,,2.26e-06,1 ha worked,16_chara,2.26e-06,3.0,,7.98e-07,1 ha worked,11_chara,2.3940000000000003e-06,1.0,,1.16e-06,1 ha worked,12_chara,1.16e-06,1.0,,6.99e-07,1 ha worked,14_chara,6.99e-07,0.0,,7.47e-07,1 ha worked,17_chara,0.0,5.1615853659,,1.16e-07,1 ha worked,15_chara,5.987439024444e-07,8.7917439024444e-06
C1_2022,C1,2022,ha,"Human toxicity, non-cancer - organics",CTUh,4.0,,1.16e-08,1 ha worked,13_chara,4.64e-08,1.0,,8.660000000000001e-08,1 ha worked,16_chara,8.660000000000001e-08,3.0,,5.48e-09,1 ha worked,11_chara,1.644e-08,1.0,,3.8200000000000005e-08,1 ha worked,12_chara,3.8200000000000005e-08,1.0,,2.67e-08,1 ha worked,14_chara,2.67e-08,0.0,,1.5299999999999998e-08,1 ha worked,17_chara,0.0,5.1615853659,,1.08e-09,1 ha worked,15_chara,5.574512195171999e-09,2.1991451219517203e-07
